Cog2000 log file Tue Jan 29 16:08:00 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mex,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mex,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
288316,[3467],:,bouton_1 122,,,,
288316,[0],:,trigger 287071,,,,
288350,[34],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_8.bmp 288350,,,,
288851,[501],:,image croix 288850,,,,
293117,[4266],:,trigger 289470,,,,
293117,[0],:,trigger 291870,,,,
293136,[19],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_5.bmp 293136,,,,
293636,[500],:,image croix 293636,,,,
298503,[4867],:,trigger 294271,,,,
298503,[0],:,trigger 296671,,,,
298521,[18],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_9.bmp 298521,,,,
299021,[500],:,image croix 299021,,,,
302688,[3667],:,trigger 299069,,,,
302688,[0],:,bouton_1 48,,,,
302688,[0],:,trigger 301470,,,,
302723,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_6.bmp 302723,,,,
303223,[500],:,image croix 303223,,,,
308090,[4867],:,bouton_1 224,,,,
308090,[0],:,trigger 303870,,,,
308091,[1],:,trigger 306270,,,,
308126,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_1.bmp 308125,,,,
308626,[500],:,image croix 308626,,,,
313093,[4467],:,trigger 308671,,,,
313093,[0],:,trigger 311070,,,,
313128,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_2.bmp 313128,,,,
313595,[467],:,trigger 313470,,,,
313628,[33],:,image croix 313628,,,,
316895,[3267],:,bouton_1 -4,,,,
316895,[0],:,trigger 315870,,,,
316895,[0],:,bouton_2 2242,,,,
316928,[33],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_5.bmp 316928,,,,
317429,[501],:,image croix 317429,,,,
321096,[3667],:,bouton_1 70,,,,
321096,[0],:,trigger 318270,,,,
321096,[0],:,trigger 320671,,,,
321131,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_3.bmp 321131,,,,
321631,[500],:,image croix 321631,,,,
325898,[4267],:,trigger 323071,,,,
325898,[0],:,trigger 325470,,,,
325932,[34],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_4.bmp 325932,,,,
326432,[500],:,image croix 326432,,,,
330899,[4467],:,trigger 327871,,,,
330899,[0],:,trigger 330270,,,,
330918,[19],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_7.bmp 330918,,,,
331418,[500],:,image croix 331418,,,,
335285,[3867],:,bouton_1 207,,,,
335285,[0],:,bouton_2 207,,,,
335285,[0],:,trigger 332671,,,,
335289,[4],:,trigger 335070,,,,
335319,[30],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_8.bmp 335319,,,,
335820,[501],:,image croix 335820,,,,
341787,[5967],:,bouton_1 169,,,,
341787,[0],:,trigger 337470,,,,
341787,[0],:,trigger 339870,,,,
341822,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_9.bmp 341822,,,,
342289,[467],:,trigger 342270,,,,
342289,[0],:,bouton_2 448,,,,
342322,[33],:,image croix 342322,,,,
345889,[3567],:,bouton_1 257,,,,
345889,[0],:,trigger 344671,,,,
345924,[35],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_5.bmp 345924,,,,
346424,[500],:,image croix 346424,,,,
349991,[3567],:,bouton_1 5,,,,
349991,[0],:,trigger 347070,,,,
349991,[0],:,trigger 349470,,,,
350025,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_8.bmp 350025,,,,
350492,[467],:,bouton_1 462,,,,
350526,[34],:,image croix 350525,,,,
355592,[5066],:,trigger 351871,,,,
355592,[0],:,trigger 354270,,,,
355611,[19],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_2.bmp 355611,,,,
356111,[500],:,image croix 356111,,,,
359779,[3668],:,trigger 356670,,,,
359779,[0],:,trigger 359071,,,,
359813,[34],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_6.bmp 359812,,,,
360313,[500],:,image croix 360313,,,,
364280,[3967],:,bouton_1 257,,,,
364280,[0],:,trigger 361470,,,,
364280,[0],:,trigger 363871,,,,
364314,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_4.bmp 364314,,,,
364815,[501],:,image croix 364815,,,,
368882,[4067],:,trigger 366270,,,,
368882,[0],:,trigger 368671,,,,
368917,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_1.bmp 368917,,,,
369417,[500],:,image croix 369417,,,,
375184,[5767],:,bouton_1 210,,,,
375184,[0],:,trigger 371071,,,,
375184,[0],:,trigger 373470,,,,
375219,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_1.bmp 375219,,,,
375719,[500],:,image croix 375719,,,,
379286,[3567],:,trigger 375870,,,,
379286,[0],:,bouton_1 246,,,,
379286,[0],:,trigger 378270,,,,
379321,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_3.bmp 379320,,,,
379821,[500],:,image croix 379821,,,,
384488,[4667],:,bouton_1 82,,,,
384488,[0],:,trigger 380671,,,,
384488,[0],:,trigger 383070,,,,
384523,[35],:,image nostim.bmp 384522,,,,
385023,[500],:,image croix 385023,,,,
389690,[4667],:,trigger 385470,,,,
389690,[0],:,trigger 387871,,,,
389690,[0],:,bouton_1 2848,,,,
389724,[34],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_3.bmp 389724,,,,
390225,[501],:,image croix 390225,,,,
394092,[3867],:,trigger 390270,,,,
394092,[0],:,trigger 392671,,,,
394110,[18],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_2.bmp 394110,,,,
394610,[500],:,image croix 394610,,,,
399177,[4567],:,trigger 395070,,,,
399177,[0],:,trigger 397470,,,,
399212,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_2.bmp 399212,,,,
399712,[500],:,image croix 399712,,,,
403979,[4267],:,trigger 399870,,,,
403979,[0],:,bouton_1 172,,,,
403979,[0],:,trigger 402270,,,,
