Cog2000 log file Tue Jun 18 10:13:09 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.95Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mex,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mex,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
94,[94],:,COGENT START,,,,
644633,[644539],:,Key,76.0,DOWN,at,644621.0
644640,[7],:,Debut_run 1 : run 1,,,,
660101,[15461],:,Byte,107.0,COM1,at,660101.0
660102,[1],:,Byte,176.0,COM1,at,660101.0
660102,[0],:,Byte,234.0,COM1,at,660101.0
660104,[2],:,Byte,56.0,COM1,at,660101.0
660108,[4],:,Byte,1.0,COM1,at,660101.0
660110,[2],:,Byte,5.0,COM1,at,660101.0
660113,[3],:,Byte,107.0,COM1,at,660101.0
660115,[2],:,Byte,160.0,COM1,at,660101.0
660118,[3],:,Byte,238.0,COM1,at,660101.0
660120,[2],:,Byte,56.0,COM1,at,660101.0
660124,[4],:,Byte,1.0,COM1,at,660101.0
660128,[4],:,Byte,5.0,COM1,at,660101.0
660130,[2],:,Synchro_IRM,,,,
660243,[113],:,image nostim.BMP 660243,,,,
661211,[968],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_5.BMP 661210,,,,
661710,[499],:,image croix 661710,,,,
666477,[4767],:,trigger 662502,,,,
666477,[0],:,trigger 664901,,,,
666512,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_7.BMP 666512,,,,
667012,[500],:,image croix 667012,,,,
671779,[4767],:,trigger 667301,,,,
671779,[0],:,trigger 669702,,,,
671814,[35],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_2.BMP 671814,,,,
672281,[467],:,trigger 672101,,,,
672314,[33],:,image croix 672314,,,,
675781,[3467],:,trigger 674501,,,,
675816,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_4.BMP 675816,,,,
676316,[500],:,image croix 676316,,,,
679983,[3667],:,trigger 676902,,,,
679983,[0],:,trigger 679302,,,,
680017,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_2.BMP 680017,,,,
680517,[500],:,image croix 680517,,,,
685284,[4767],:,trigger 681702,,,,
685284,[0],:,trigger 684102,,,,
685303,[19],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_4.BMP 685302,,,,
685803,[500],:,image croix 685803,,,,
690870,[5067],:,trigger 686502,,,,
690870,[0],:,trigger 688902,,,,
690888,[18],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_3.BMP 690888,,,,
691355,[467],:,trigger 691301,,,,
691388,[33],:,image croix 691388,,,,
694155,[2767],:,trigger 693703,,,,
694190,[35],:,image nostim.BMP 694190,,,,
694690,[500],:,image croix 694690,,,,
699957,[5267],:,trigger 696101,,,,
699957,[0],:,trigger 698502,,,,
699975,[18],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_3.BMP 699975,,,,
700475,[500],:,image croix 700475,,,,
704442,[3967],:,trigger 700901,,,,
704442,[0],:,trigger 703301,,,,
704477,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_8.BMP 704477,,,,
704977,[500],:,image croix 704977,,,,
708844,[3867],:,bouton_1 444,,,,
708844,[0],:,trigger 705702,,,,
708845,[1],:,trigger 708101,,,,
708880,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_5.BMP 708879,,,,
709380,[500],:,image croix 709380,,,,
713847,[4467],:,trigger 710502,,,,
713847,[0],:,trigger 712902,,,,
713882,[35],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_5.BMP 713881,,,,
714382,[500],:,image croix 714382,,,,
718249,[3867],:,trigger 715301,,,,
718249,[0],:,trigger 717697,,,,
718283,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_2.BMP 718283,,,,
718783,[500],:,image croix 718783,,,,
723051,[4268],:,trigger 720102,,,,
723051,[0],:,trigger 722503,,,,
723085,[34],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_2.BMP 723085,,,,
723585,[500],:,image croix 723585,,,,
728152,[4567],:,trigger 724901,,,,
728152,[0],:,trigger 727302,,,,
728187,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_2.BMP 728187,,,,
728687,[500],:,image croix 728687,,,,
733654,[4967],:,trigger 729702,,,,
733654,[0],:,trigger 732102,,,,
733689,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_3.BMP 733689,,,,
734189,[500],:,image croix 734189,,,,
738556,[4367],:,trigger 734502,,,,
738556,[0],:,trigger 736902,,,,
738591,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_4.BMP 738591,,,,
739091,[500],:,image croix 739091,,,,
742258,[3167],:,trigger 739301,,,,
742258,[0],:,trigger 741702,,,,
742293,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_3.BMP 742293,,,,
742793,[500],:,image croix 742793,,,,
747361,[4568],:,trigger 744101,,,,
747361,[0],:,trigger 746502,,,,
747394,[33],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_6.BMP 747394,,,,
747895,[501],:,image croix 747894,,,,
752261,[4366],:,trigger 748901,,,,
752261,[0],:,trigger 751301,,,,
752280,[19],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_4.BMP 752280,,,,
752780,[500],:,image croix 752780,,,,
756847,[4067],:,trigger 753701,,,,
756847,[0],:,trigger 756102,,,,
756882,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_3.BMP 756882,,,,
757382,[500],:,image croix 757382,,,,
762749,[5367],:,trigger 758503,,,,
762749,[0],:,trigger 760902,,,,
762784,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_1.BMP 762784,,,,
763284,[500],:,image croix 763284,,,,
765951,[2667],:,trigger 763302,,,,
765951,[0],:,trigger 765701,,,,
765985,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_8.BMP 765985,,,,
766486,[501],:,image croix 766485,,,,
771052,[4566],:,bouton_1 177,,,,
771052,[0],:,trigger 768101,,,,
771052,[0],:,trigger 770502,,,,
771088,[36],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_9.BMP 771088,,,,
771588,[500],:,image croix 771588,,,,
775855,[4267],:,trigger 772902,,,,
775855,[0],:,bouton_1 1774,,,,
775855,[0],:,trigger 775302,,,,
775889,[34],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_5.BMP 775889,,,,
776389,[500],:,image croix 776389,,,,
780656,[4267],:,trigger 777702,,,,
780656,[0],:,trigger 780102,,,,
780691,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_9.BMP 780691,,,,
781191,[500],:,image croix 781191,,,,
786558,[5367],:,trigger 782502,,,,
786558,[0],:,trigger 784901,,,,
786577,[19],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_1.BMP 786577,,,,
787077,[500],:,image croix 787077,,,,
790844,[3767],:,trigger 787302,,,,
790844,[0],:,trigger 789701,,,,
790879,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_4.BMP 790879,,,,
791379,[500],:,image croix 791379,,,,
795846,[4467],:,trigger 792102,,,,
795846,[0],:,trigger 794503,,,,
795846,[0],:,bouton_1 3124,,,,
795881,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_6.BMP 795881,,,,
796381,[500],:,image croix 796381,,,,
801248,[4867],:,trigger 796902,,,,
801248,[0],:,trigger 799302,,,,
801283,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_6.BMP 801283,,,,
801750,[467],:,trigger 801702,,,,
801783,[33],:,image croix 801783,,,,
805750,[3967],:,trigger 804096,,,,
805785,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_3.BMP 805785,,,,
806285,[500],:,image croix 806285,,,,
809652,[3367],:,trigger 806502,,,,
809652,[0],:,trigger 808902,,,,
809686,[34],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_7.BMP 809686,,,,
810186,[500],:,image croix 810186,,,,
815553,[5367],:,bouton_1 146,,,,
815553,[0],:,trigger 811301,,,,
815553,[0],:,trigger 813702,,,,
815589,[36],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_8.BMP 815589,,,,
816089,[500],:,image croix 816089,,,,
819756,[3667],:,trigger 816101,,,,
819756,[0],:,trigger 818502,,,,
819791,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_1.BMP 819791,,,,
820291,[500],:,image croix 820291,,,,
825058,[4767],:,trigger 820901,,,,
825058,[0],:,trigger 823301,,,,
825092,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_9.BMP 825092,,,,
825592,[500],:,image croix 825592,,,,
828960,[3368],:,trigger 825701,,,,
828960,[0],:,trigger 828101,,,,
828994,[34],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_1.BMP 828994,,,,
829494,[500],:,image croix 829494,,,,
834061,[4567],:,trigger 830502,,,,
834061,[0],:,trigger 832902,,,,
834096,[35],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_9.BMP 834096,,,,
834596,[500],:,image croix 834596,,,,
838963,[4367],:,trigger 835302,,,,
838963,[0],:,trigger 837702,,,,
838998,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_7.BMP 838998,,,,
839499,[501],:,image croix 839498,,,,
844165,[4666],:,bouton_1 245,,,,
844165,[0],:,trigger 840100,,,,
844165,[0],:,trigger 842502,,,,
844200,[35],:,image nostim.BMP 844200,,,,
844700,[500],:,image croix 844700,,,,
847667,[2967],:,trigger 844902,,,,
