Cog2000 log file Tue Apr 19 16:05:02 2016,,,,,,,
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mexw32,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mexw32,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
1690827,[101],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_7.BMP 1690827,,,,
1691327,[500],:,image croix 1691327,,,,
1696594,[5267],:,trigger 1692521,,,,
1696595,[1],:,trigger 1694921,,,,
1696712,[117],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_5.BMP 1696712,,,,
1697212,[500],:,image croix 1697212,,,,
1702079,[4867],:,bouton_1 698,,,,
1702079,[0],:,trigger 1699721,,,,
1702115,[36],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_9.BMP 1702114,,,,
1702581,[466],:,trigger 1702122,,,,
1702615,[34],:,image croix 1702615,,,,
1707183,[4568],:,trigger 1704520,,,,
1707183,[0],:,trigger 1706921,,,,
1707216,[33],:,image nostim.BMP 1707216,,,,
1707716,[500],:,image croix 1707716,,,,
1711883,[4167],:,trigger 1709321,,,,
1711883,[0],:,trigger 1711720,,,,
1712002,[119],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_1.BMP 1712002,,,,
1712502,[500],:,image croix 1712502,,,,
1715969,[3467],:,trigger 1714122,,,,
1716086,[117],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_8.BMP 1716086,,,,
1716586,[500],:,image croix 1716586,,,,
1720853,[4267],:,trigger 1718921,,,,
1720905,[52],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_5.BMP 1720905,,,,
1721372,[467],:,trigger 1721321,,,,
1721406,[34],:,image croix 1721405,,,,
1726272,[4866],:,trigger 1723721,,,,
1726272,[0],:,trigger 1726121,,,,
1726307,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_9.BMP 1726307,,,,
1726807,[500],:,image croix 1726807,,,,
1730474,[3667],:,bouton_1 83,,,,
1730475,[1],:,trigger 1728521,,,,
1730509,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_6.BMP 1730509,,,,
1730976,[467],:,trigger 1730920,,,,
1731009,[33],:,image croix 1731009,,,,
1735876,[4867],:,trigger 1733322,,,,
1735978,[102],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_1.BMP 1735978,,,,
1736478,[500],:,image croix 1736478,,,,
1740945,[4467],:,trigger 1738122,,,,
1740945,[0],:,trigger 1740520,,,,
1741063,[118],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_2.BMP 1741063,,,,
1741563,[500],:,image croix 1741563,,,,
1744830,[3267],:,trigger 1742920,,,,
1744931,[101],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_5.BMP 1744931,,,,
1745398,[467],:,trigger 1745321,,,,
1745431,[33],:,image croix 1745431,,,,
1749098,[3667],:,bouton_1 215,,,,
1749098,[0],:,trigger 1747720,,,,
1749216,[118],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_3.BMP 1749216,,,,
1749716,[500],:,image croix 1749716,,,,
1753983,[4267],:,trigger 1750121,,,,
1753983,[0],:,trigger 1752521,,,,
1754052,[69],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_4.BMP 1754051,,,,
1754552,[500],:,image croix 1754552,,,,
1759019,[4467],:,trigger 1757322,,,,
1759071,[52],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_7.BMP 1759070,,,,
1759571,[500],:,image croix 1759571,,,,
1763438,[3867],:,trigger 1759721,,,,
1763438,[0],:,trigger 1762122,,,,
1763472,[34],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_8.BMP 1763472,,,,
1763972,[500],:,image croix 1763972,,,,
1769939,[5967],:,trigger 1764521,,,,
1769939,[0],:,trigger 1766920,,,,
1769940,[1],:,trigger 1769321,,,,
1769975,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_9.BMP 1769975,,,,
1770475,[500],:,image croix 1770475,,,,
1774042,[3567],:,trigger 1771721,,,,
1774093,[51],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_5.BMP 1774093,,,,
1774593,[500],:,image croix 1774593,,,,
1778160,[3567],:,bouton_1 280,,,,
1778160,[0],:,trigger 1776522,,,,
1778245,[85],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_8.BMP 1778245,,,,
1778745,[500],:,image croix 1778745,,,,
1783812,[5067],:,trigger 1778921,,,,
1783812,[0],:,trigger 1781321,,,,
1783813,[1],:,trigger 1783721,,,,
1783914,[101],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_2.BMP 1783914,,,,
1784414,[500],:,image croix 1784414,,,,
1788081,[3667],:,trigger 1786121,,,,
1788166,[85],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_6.BMP 1788166,,,,
1788633,[467],:,trigger 1788521,,,,
1788666,[33],:,image croix 1788666,,,,
1792633,[3967],:,trigger 1790920,,,,
1792668,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_4.BMP 1792668,,,,
1793168,[500],:,image croix 1793168,,,,
1797235,[4067],:,trigger 1795721,,,,
1797269,[34],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_1.BMP 1797269,,,,
1797769,[500],:,image croix 1797769,,,,
1803536,[5767],:,trigger 1798121,,,,
1803536,[0],:,trigger 1800521,,,,
1803537,[1],:,trigger 1802921,,,,
1803656,[119],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_1.BMP 1803656,,,,
1804155,[499],:,image croix 1804155,,,,
1807722,[3567],:,trigger 1805321,,,,
