Cog2000 log file Tue Jul 10 18:50:43 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
123233,[3867],:,trigger 119419,,,,
123233,[0],:,trigger 121819,,,,
123268,[35],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_6.BMP 123268,,,,
123768,[500],:,image croix 123768,,,,
126935,[3167],:,bouton_1 403,,,,
126935,[0],:,trigger 124219,,,,
126935,[0],:,trigger 126619,,,,
126970,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_6.BMP 126970,,,,
127470,[500],:,image croix 127470,,,,
132337,[4867],:,trigger 129020,,,,
132337,[0],:,trigger 131419,,,,
132372,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_4.BMP 132371,,,,
132872,[500],:,image croix 132872,,,,
136239,[3367],:,trigger 133819,,,,
136239,[0],:,trigger 136219,,,,
136273,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_4.BMP 136273,,,,
136773,[500],:,image croix 136773,,,,
142840,[6067],:,trigger 138618,,,,
142840,[0],:,trigger 141019,,,,
142859,[19],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_2.BMP 142859,,,,
143359,[500],:,image croix 143359,,,,
146126,[2767],:,trigger 143419,,,,
146126,[0],:,trigger 145818,,,,
146160,[34],:,image nostim.BMP 146160,,,,
146660,[500],:,image croix 146660,,,,
150627,[3967],:,trigger 148220,,,,
150627,[0],:,trigger 150620,,,,
150646,[19],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_2.BMP 150646,,,,
151146,[500],:,image croix 151146,,,,
156813,[5667],:,bouton_1 460,,,,
156813,[0],:,trigger 153020,,,,
156813,[0],:,trigger 155420,,,,
156848,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_8.BMP 156848,,,,
157349,[501],:,image croix 157349,,,,
160916,[3567],:,trigger 157819,,,,
160916,[0],:,bouton_1 569,,,,
160916,[0],:,trigger 160220,,,,
160950,[34],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_1.BMP 160950,,,,
161450,[500],:,image croix 161450,,,,
166717,[5267],:,trigger 162619,,,,
166717,[0],:,trigger 165020,,,,
166717,[0],:,trigger 165020,,,,
166719,[2],:,trigger 165020,,,,
166752,[33],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_8.BMP 166752,,,,
167252,[500],:,image croix 167252,,,,
170319,[3067],:,trigger 167420,,,,
170319,[0],:,trigger 169820,,,,
170354,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_7.BMP 170354,,,,
170854,[500],:,image croix 170854,,,,
174721,[3867],:,trigger 172220,,,,
174721,[0],:,trigger 174619,,,,
174755,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_6.BMP 174755,,,,
175256,[501],:,image croix 175256,,,,
180823,[5567],:,bouton_1 389,,,,
180823,[0],:,trigger 177019,,,,
180823,[0],:,bouton_2 1763,,,,
180825,[2],:,trigger 179419,,,,
180826,[1],:,trigger 179419,,,,
180857,[31],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_8.BMP 180857,,,,
181358,[501],:,image croix 181358,,,,
184625,[3267],:,bouton_1 246,,,,
184625,[0],:,trigger 181818,,,,
184625,[0],:,trigger 184220,,,,
184659,[34],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_4.BMP 184659,,,,
185159,[500],:,image croix 185159,,,,
190426,[5267],:,trigger 186620,,,,
190426,[0],:,trigger 189020,,,,
190462,[36],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_9.BMP 190462,,,,
190962,[500],:,image croix 190962,,,,
195429,[4467],:,trigger 191420,,,,
195429,[0],:,trigger 193819,,,,
195464,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_3.BMP 195464,,,,
195964,[500],:,image croix 195964,,,,
198631,[2667],:,trigger 196220,,,,
198631,[0],:,bouton_1 333,,,,
198631,[0],:,trigger 198619,,,,
198665,[34],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_6.BMP 198665,,,,
199165,[500],:,image croix 199165,,,,
204232,[5067],:,trigger 201020,,,,
204232,[0],:,trigger 203420,,,,
204268,[36],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_9.BMP 204268,,,,
204768,[500],:,image croix 204768,,,,
209435,[4667],:,bouton_1 187,,,,
209435,[0],:,trigger 205819,,,,
209435,[0],:,trigger 208219,,,,
209470,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_6.BMP 209470,,,,
209970,[500],:,image croix 209970,,,,
214837,[4867],:,bouton_1 369,,,,
214837,[0],:,trigger 210619,,,,
214837,[0],:,trigger 213020,,,,
214872,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_2.BMP 214871,,,,
215372,[500],:,image croix 215372,,,,
219539,[4167],:,trigger 215419,,,,
219539,[0],:,bouton_1 530,,,,
219539,[0],:,trigger 217819,,,,
219573,[34],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_9.BMP 219573,,,,
220073,[500],:,image croix 220073,,,,
224340,[4267],:,trigger 220220,,,,
