Cog2000 log file Tue Jun 26 17:24:21 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.95Hz,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
0,[0],:,COGENT START,,,,
164612,[164612],:,Key,1.0,DOWN,at,164612.0
164612,[0],:,COGENT STOP,,,,
Cog2000 log file Tue Jun 26 17:29:56 2012,,,,,,,
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.95Hz,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
0,[0],:,COGENT START,,,,
1200082,[1200082],:,Key,64.0,DOWN,at,1200082.0
1203575,[3493],:,Key,28.0,DOWN,at,1203575.0
1203575,[0],:,Debut_run 1 : run 1,,,,
1227693,[24118],:,Byte,107.0,COM1,at,1227693.0
1227693,[0],:,Byte,176.0,COM1,at,1227693.0
1227694,[1],:,Byte,167.0,COM1,at,1227693.0
1227696,[2],:,Synchro_IRM,,,,
1227732,[36],:,image nostim.BMP 1227731,,,,
1229331,[1599],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_3.BMP 1229331,,,,
1229831,[500],:,image croix 1229831,,,,
1232798,[2967],:,trigger 1230092,,,,
1232798,[0],:,bouton_2 261,,,,
1232798,[0],:,bouton_2 261,,,,
1232801,[3],:,trigger 1232493,,,,
1232803,[2],:,bouton_2 2662,,,,
1232805,[2],:,bouton_2 2662,,,,
1232833,[28],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_7.BMP 1232833,,,,
1233333,[500],:,image croix 1233333,,,,
1238800,[5467],:,trigger 1234893,,,,
1238800,[0],:,bouton_2 1560,,,,
1238800,[0],:,bouton_2 1560,,,,
1238803,[3],:,trigger 1237293,,,,
1238805,[2],:,bouton_2 3960,,,,
1238807,[2],:,bouton_2 3960,,,,
1238835,[28],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_1.BMP 1238835,,,,
1239335,[500],:,image croix 1239335,,,,
1243702,[4367],:,bouton_1 264,,,,
1243702,[0],:,bouton_2 265,,,,
1243702,[0],:,trigger 1239694,,,,
1243704,[2],:,bouton_2 359,,,,
1243706,[2],:,bouton_2 359,,,,
1243708,[2],:,bouton_2 612,,,,
1243710,[2],:,trigger 1242093,,,,
1243713,[3],:,bouton_2 2758,,,,
1243715,[2],:,trigger 1242093,,,,
1243717,[2],:,bouton_2 2758,,,,
1243738,[21],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_6.BMP 1243738,,,,
1244238,[500],:,image croix 1244238,,,,
1248305,[4067],:,trigger 1244494,,,,
1248305,[0],:,bouton_2 256,,,,
1248305,[0],:,bouton_2 256,,,,
1248308,[3],:,bouton_1 1189,,,,
1248310,[2],:,bouton_2 1189,,,,
1248313,[3],:,bouton_2 1393,,,,
1248315,[2],:,trigger 1246893,,,,
1248317,[2],:,bouton_2 2655,,,,
1248320,[3],:,bouton_2 2655,,,,
1248356,[36],:,image nostim.BMP 1248356,,,,
1248856,[500],:,image croix 1248856,,,,
1253423,[4567],:,trigger 1249293,,,,
1253423,[0],:,trigger 1249293,,,,
1253423,[0],:,bouton_2 437,,,,
1253426,[3],:,bouton_2 437,,,,
1253428,[2],:,trigger 1251693,,,,
1253458,[30],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_5.BMP 1253458,,,,
1253958,[500],:,image croix 1253958,,,,
1257625,[3667],:,trigger 1254093,,,,
1257625,[0],:,trigger 1256493,,,,
1257660,[35],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_4.BMP 1257660,,,,
1258160,[500],:,image croix 1258160,,,,
1263127,[4967],:,trigger 1258893,,,,
1263127,[0],:,trigger 1261293,,,,
1263161,[34],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_6.BMP 1263161,,,,
1263662,[501],:,image croix 1263662,,,,
1266529,[2867],:,trigger 1263694,,,,
1266529,[0],:,trigger 1266093,,,,
1266563,[34],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_1.BMP 1266563,,,,
1267064,[501],:,image croix 1267064,,,,
1272931,[5867],:,bouton_1 418,,,,
1272931,[0],:,trigger 1268493,,,,
1272931,[0],:,trigger 1270893,,,,
1272966,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_1.BMP 1272966,,,,
1273433,[467],:,trigger 1273293,,,,
1273466,[33],:,image croix 1273466,,,,
1276233,[2767],:,trigger 1275693,,,,
1276267,[34],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_3.BMP 1276267,,,,
1276767,[500],:,image croix 1276767,,,,
1280834,[4067],:,trigger 1278093,,,,
1280834,[0],:,trigger 1280493,,,,
1280869,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_9.BMP 1280869,,,,
1281369,[500],:,image croix 1281369,,,,
1286536,[5167],:,trigger 1282888,,,,
1286536,[0],:,trigger 1285294,,,,
1286572,[36],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_2.BMP 1286572,,,,
1287072,[500],:,image croix 1287072,,,,
1290239,[3167],:,trigger 1287693,,,,
1290239,[0],:,trigger 1290093,,,,
1290273,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_5.BMP 1290273,,,,
1290773,[500],:,image croix 1290773,,,,
1296640,[5867],:,trigger 1292493,,,,
1296640,[0],:,trigger 1294893,,,,
1296640,[0],:,trigger 1294893,,,,
1296643,[3],:,trigger 1294893,,,,
1296675,[32],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_6.BMP 1296675,,,,
1297175,[500],:,image croix 1297175,,,,
1300942,[3767],:,trigger 1297293,,,,
1300942,[0],:,trigger 1299693,,,,
1300977,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_8.BMP 1300977,,,,
1301477,[500],:,image croix 1301477,,,,
1305344,[3867],:,trigger 1302093,,,,
1305344,[0],:,trigger 1304493,,,,
1305379,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_2.BMP 1305379,,,,
1305879,[500],:,image croix 1305879,,,,
1310546,[4667],:,bouton_1 610,,,,
1310546,[0],:,trigger 1306893,,,,
1310546,[0],:,trigger 1309292,,,,
1310581,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_9.BMP 1310581,,,,
1311081,[500],:,image croix 1311081,,,,
1315748,[4667],:,trigger 1311694,,,,
1315748,[0],:,trigger 1314093,,,,
1315784,[36],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_8.BMP 1315783,,,,
1316284,[500],:,image croix 1316284,,,,
1319751,[3467],:,trigger 1316494,,,,
1319751,[0],:,trigger 1318894,,,,
1319785,[34],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_2.BMP 1319785,,,,
1320285,[500],:,image croix 1320285,,,,
1324552,[4267],:,trigger 1321293,,,,
1324552,[0],:,trigger 1323693,,,,
1324586,[34],:,image nostim.BMP 1324586,,,,
1325087,[501],:,image croix 1325087,,,,
1330554,[5467],:,trigger 1326094,,,,
1330554,[0],:,trigger 1328494,,,,
1330589,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_4.BMP 1330589,,,,
1331056,[467],:,trigger 1330893,,,,
1331089,[33],:,image croix 1331089,,,,
1334456,[3367],:,trigger 1333293,,,,
1334491,[35],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_5.BMP 1334491,,,,
1334991,[500],:,image croix 1334991,,,,
1340058,[5067],:,trigger 1335693,,,,
1340058,[0],:,trigger 1338093,,,,
1340093,[35],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_4.BMP 1340093,,,,
1340560,[467],:,trigger 1340493,,,,
1340593,[33],:,image croix 1340593,,,,
1343660,[3067],:,trigger 1342893,,,,
1343695,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_8.BMP 1343695,,,,
1344195,[500],:,image croix 1344195,,,,
1349462,[5267],:,bouton_1 573,,,,
1349462,[0],:,trigger 1345292,,,,
1349462,[0],:,trigger 1347693,,,,
1349496,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_4.BMP 1349496,,,,
1349996,[500],:,image croix 1349996,,,,
1353963,[3967],:,trigger 1350094,,,,
1353963,[0],:,trigger 1352494,,,,
1353998,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_2.BMP 1353998,,,,
1354498,[500],:,image croix 1354498,,,,
1357565,[3067],:,trigger 1354894,,,,
1357565,[0],:,trigger 1357293,,,,
1357583,[18],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_3.BMP 1357583,,,,
1358083,[500],:,image croix 1358083,,,,
1363050,[4967],:,trigger 1359694,,,,
1363050,[0],:,trigger 1362093,,,,
1363069,[19],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_9.BMP 1363069,,,,
1363569,[500],:,image croix 1363569,,,,
1367236,[3667],:,bouton_1 665,,,,
1367236,[0],:,trigger 1364494,,,,
1367236,[0],:,trigger 1366894,,,,
1367271,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_3.BMP 1367271,,,,
1367771,[500],:,image croix 1367771,,,,
1373338,[5567],:,trigger 1369293,,,,
1373338,[0],:,bouton_1 1995,,,,
1373338,[0],:,trigger 1371693,,,,
1373373,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_5.BMP 1373373,,,,
1373873,[500],:,image croix 1373873,,,,
1377540,[3667],:,trigger 1374093,,,,
1377540,[0],:,trigger 1376493,,,,
1377575,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_7.BMP 1377575,,,,
1378075,[500],:,image croix 1378075,,,,
1383042,[4967],:,trigger 1378893,,,,
1383042,[0],:,trigger 1381293,,,,
