Cog2000 log file Tue Jun 11 17:57:54 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.95Hz,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
0,[0],:,COGENT START,,,,
762863,[762863],:,Key,76.0,DOWN,at,762863.0
762863,[0],:,Debut_run 1 : run 1,,,,
773830,[10967],:,Byte,107.0,COM1,at,773829.0
773830,[0],:,Byte,176.0,COM1,at,773830.0
773830,[0],:,Byte,124.0,COM1,at,773830.0
773833,[3],:,Byte,60.0,COM1,at,773830.0
773835,[2],:,Byte,58.0,COM1,at,773830.0
773837,[2],:,Byte,242.0,COM1,at,773830.0
773839,[2],:,Byte,107.0,COM1,at,773830.0
773842,[3],:,Synchro_IRM,,,,
773865,[23],:,image nostim.BMP 773864,,,,
774564,[699],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_4.BMP 774564,,,,
775065,[501],:,image croix 775064,,,,
779631,[4566],:,trigger 776230,,,,
779632,[1],:,bouton_1 2545,,,,
779632,[0],:,trigger 778629,,,,
779666,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_4.BMP 779666,,,,
780166,[500],:,image croix 780166,,,,
784333,[4167],:,trigger 781030,,,,
784333,[0],:,trigger 783430,,,,
784367,[34],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_3.BMP 784367,,,,
784868,[501],:,image croix 784868,,,,
789135,[4267],:,trigger 785830,,,,
789135,[0],:,trigger 788230,,,,
789170,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_1.BMP 789170,,,,
789670,[500],:,image croix 789670,,,,
794437,[4767],:,trigger 790630,,,,
794437,[0],:,trigger 793030,,,,
794455,[18],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_4.BMP 794455,,,,
794955,[500],:,image croix 794955,,,,
799322,[4367],:,trigger 795430,,,,
799322,[0],:,trigger 797829,,,,
799340,[18],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_6.BMP 799340,,,,
799841,[501],:,image croix 799841,,,,
802808,[2967],:,bouton_1 264,,,,
802808,[0],:,trigger 800231,,,,
802808,[0],:,trigger 802630,,,,
802842,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_8.BMP 802842,,,,
803342,[500],:,image croix 803342,,,,
808709,[5367],:,trigger 805030,,,,
808709,[0],:,trigger 807429,,,,
808744,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_3.BMP 808744,,,,
809244,[500],:,image croix 809244,,,,
812412,[3168],:,trigger 809829,,,,
812412,[0],:,trigger 812230,,,,
812446,[34],:,image nostim.BMP 812446,,,,
812946,[500],:,image croix 812946,,,,
817513,[4567],:,trigger 814630,,,,
817513,[0],:,trigger 817030,,,,
817548,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_3.BMP 817548,,,,
818048,[500],:,image croix 818048,,,,
822315,[4267],:,trigger 819430,,,,
822315,[0],:,trigger 821829,,,,
822350,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_5.BMP 822350,,,,
822850,[500],:,image croix 822850,,,,
827217,[4367],:,bouton_1 405,,,,
827217,[0],:,bouton_2 405,,,,
827217,[0],:,trigger 824231,,,,
827220,[3],:,trigger 826630,,,,
827252,[32],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_1.BMP 827252,,,,
827752,[500],:,image croix 827752,,,,
831819,[4067],:,bouton_1 396,,,,
831819,[0],:,trigger 829031,,,,
831819,[0],:,trigger 831430,,,,
831822,[3],:,bouton_1 3678,,,,
831854,[32],:,image nostim.BMP 831854,,,,
832354,[500],:,image croix 832354,,,,
836321,[3967],:,trigger 833830,,,,
836321,[0],:,trigger 836230,,,,
836356,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_9.BMP 836356,,,,
836856,[500],:,image croix 836856,,,,
842723,[5867],:,trigger 838630,,,,
842723,[0],:,trigger 841030,,,,
842742,[19],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_6.BMP 842742,,,,
843242,[500],:,image croix 843242,,,,
846609,[3367],:,trigger 843430,,,,
846609,[0],:,trigger 845830,,,,
846643,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_7.BMP 846643,,,,
847143,[500],:,image croix 847143,,,,
850810,[3667],:,bouton_1 708,,,,
850810,[0],:,trigger 848231,,,,
850810,[0],:,trigger 850629,,,,
850845,[35],:,image nostim.BMP 850845,,,,
851345,[500],:,image croix 851345,,,,
855612,[4267],:,trigger 853030,,,,
855612,[0],:,trigger 855429,,,,
855630,[18],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_6.BMP 855630,,,,
856130,[500],:,image croix 856130,,,,
861997,[5867],:,bouton_1 490,,,,
861997,[0],:,trigger 857829,,,,
861997,[0],:,trigger 860230,,,,
862033,[36],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_1.BMP 862033,,,,
862533,[500],:,image croix 862533,,,,
865301,[2768],:,trigger 862630,,,,
865301,[0],:,bouton_1 1238,,,,
865302,[1],:,trigger 865030,,,,
865334,[32],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_2.BMP 865333,,,,
865834,[500],:,image croix 865834,,,,
871701,[5867],:,trigger 867430,,,,
871701,[0],:,trigger 869830,,,,
871720,[19],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_3.BMP 871720,,,,
872220,[500],:,image croix 872220,,,,
876287,[4067],:,trigger 872231,,,,
876287,[0],:,bouton_1 442,,,,
876288,[1],:,trigger 874630,,,,
876322,[34],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_8.BMP 876322,,,,
876822,[500],:,image croix 876822,,,,
880189,[3367],:,trigger 877030,,,,
880189,[0],:,trigger 879429,,,,
880223,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_4.BMP 880223,,,,
880723,[500],:,image croix 880723,,,,
885890,[5167],:,bouton_1 475,,,,
885890,[0],:,trigger 881829,,,,
885890,[0],:,trigger 884230,,,,
885925,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_3.BMP 885925,,,,
886426,[501],:,image croix 886425,,,,
889992,[3566],:,trigger 886629,,,,
889992,[0],:,bouton_1 466,,,,
889992,[0],:,trigger 889030,,,,
890027,[35],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_1.BMP 890027,,,,
890528,[501],:,image croix 890528,,,,
894695,[4167],:,trigger 891429,,,,
894695,[0],:,trigger 893829,,,,
894729,[34],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_9.BMP 894729,,,,
895229,[500],:,image croix 895229,,,,
899396,[4167],:,trigger 896229,,,,
899396,[0],:,trigger 898630,,,,
899414,[18],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_9.BMP 899414,,,,
899914,[500],:,image croix 899914,,,,
904981,[5067],:,trigger 901031,,,,
904981,[0],:,trigger 903430,,,,
904999,[18],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_6.BMP 904999,,,,
905500,[501],:,image croix 905500,,,,
909867,[4367],:,trigger 905831,,,,
909867,[0],:,trigger 908230,,,,
909902,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_7.BMP 909902,,,,
910402,[500],:,image croix 910402,,,,
914769,[4367],:,trigger 910630,,,,
914769,[0],:,trigger 913030,,,,
914804,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_6.BMP 914804,,,,
915304,[500],:,image croix 915304,,,,
918771,[3467],:,trigger 915430,,,,
918771,[0],:,trigger 917829,,,,
918805,[34],:,image nostim.BMP 918805,,,,
919306,[501],:,image croix 919305,,,,
923272,[3966],:,trigger 920230,,,,
923272,[0],:,trigger 922630,,,,
923290,[18],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_3.BMP 923290,,,,
923790,[500],:,image croix 923790,,,,
929057,[5267],:,bouton_1 341,,,,
929057,[0],:,trigger 925030,,,,
929057,[0],:,trigger 927429,,,,
929093,[36],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_6.BMP 929093,,,,
929593,[500],:,image croix 929593,,,,
933460,[3867],:,trigger 929829,,,,
933460,[0],:,trigger 932230,,,,
933494,[34],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_6.BMP 933494,,,,
933994,[500],:,image croix 933994,,,,
938461,[4467],:,trigger 934629,,,,
938461,[0],:,trigger 937031,,,,
938496,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_8.BMP 938496,,,,
938996,[500],:,image croix 938996,,,,
942763,[3767],:,trigger 939430,,,,
942763,[0],:,trigger 941829,,,,
942782,[19],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_9.BMP 942782,,,,
943282,[500],:,image croix 943282,,,,
948549,[5267],:,bouton_1 378,,,,
948549,[0],:,trigger 944230,,,,
948549,[0],:,trigger 946630,,,,
948584,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_4.BMP 948584,,,,
949051,[467],:,trigger 949030,,,,
949084,[33],:,image croix 949084,,,,
952951,[3867],:,trigger 951430,,,,
952969,[18],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_1.BMP 952969,,,,
953469,[500],:,image croix 953469,,,,
956236,[2767],:,trigger 953830,,,,
956236,[0],:,trigger 956230,,,,
956271,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_1.BMP 956271,,,,
956771,[500],:,image croix 956771,,,,
962638,[5867],:,trigger 958629,,,,
962638,[0],:,trigger 961030,,,,
962673,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_1.BMP 962673,,,,
963173,[500],:,image croix 963173,,,,
967240,[4067],:,trigger 963429,,,,
967240,[0],:,bouton_1 1421,,,,
