Cog2000 log file Tue Jan 22 17:33:15 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
0,[0],:,COGENT START,,,,
425977,[425977],:,Key,76.0,DOWN,at,425977.0
425977,[0],:,Debut_run 1 : run 1,,,,
436341,[10364],:,Byte,107.0,COM1,at,436340.0
436341,[0],:,Byte,176.0,COM1,at,436340.0
436341,[0],:,Byte,90.0,COM1,at,436340.0
436344,[3],:,Byte,14.0,COM1,at,436340.0
436346,[2],:,Byte,79.0,COM1,at,436340.0
436348,[2],:,Byte,0.0,COM1,at,436340.0
436350,[2],:,Byte,107.0,COM1,at,436340.0
436352,[2],:,Byte,160.0,COM1,at,436340.0
436354,[2],:,Byte,95.0,COM1,at,436340.0
436355,[1],:,Byte,14.0,COM1,at,436340.0
436357,[2],:,Byte,79.0,COM1,at,436340.0
436359,[2],:,Byte,0.0,COM1,at,436340.0
436361,[2],:,Synchro_IRM,,,,
436394,[33],:,image nostim.bmp 436393,,,,
436793,[399],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_7.bmp 436793,,,,
437293,[500],:,image croix 437293,,,,
442860,[5567],:,bouton_1 221,,,,
442860,[0],:,trigger 438739,,,,
442860,[0],:,trigger 441140,,,,
442896,[36],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_4.bmp 442896,,,,
443396,[500],:,image croix 443396,,,,
445963,[2567],:,bouton_1 63,,,,
445963,[0],:,trigger 443539,,,,
445963,[0],:,trigger 445939,,,,
445997,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_1.bmp 445997,,,,
446464,[467],:,bouton_1 463,,,,
446497,[33],:,image croix 446497,,,,
450864,[4367],:,trigger 448339,,,,
450864,[0],:,trigger 450739,,,,
450898,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_9.bmp 450898,,,,
451398,[500],:,image croix 451398,,,,
457065,[5667],:,bouton_1 185,,,,
457065,[0],:,trigger 453139,,,,
457065,[0],:,trigger 455538,,,,
457102,[37],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_1.bmp 457102,,,,
457602,[500],:,image croix 457602,,,,
461469,[3867],:,bouton_1 31,,,,
461469,[0],:,trigger 457939,,,,
461469,[0],:,trigger 460338,,,,
461503,[34],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_3.bmp 461503,,,,
462003,[500],:,image croix 462003,,,,
465570,[3567],:,trigger 462739,,,,
465570,[0],:,trigger 465139,,,,
465604,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_6.bmp 465604,,,,
466104,[500],:,image croix 466104,,,,
470871,[4767],:,bouton_1 -2,,,,
470871,[0],:,trigger 467538,,,,
470871,[0],:,trigger 469939,,,,
470907,[36],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_4.bmp 470906,,,,
471407,[500],:,image croix 471407,,,,
476174,[4767],:,bouton_1 146,,,,
476174,[0],:,trigger 472339,,,,
476175,[1],:,trigger 474739,,,,
476209,[34],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_2.bmp 476209,,,,
476709,[500],:,image croix 476709,,,,
479676,[2967],:,trigger 477139,,,,
479676,[0],:,trigger 479539,,,,
479710,[34],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_1.bmp 479710,,,,
480211,[501],:,image croix 480210,,,,
485677,[5466],:,bouton_1 87,,,,
485677,[0],:,trigger 481938,,,,
485677,[0],:,trigger 484340,,,,
485713,[36],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_4.bmp 485713,,,,
486213,[500],:,image croix 486213,,,,
489780,[3567],:,bouton_1 167,,,,
489780,[0],:,trigger 486738,,,,
489780,[0],:,trigger 489139,,,,
489814,[34],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_7.bmp 489814,,,,
490314,[500],:,image croix 490314,,,,
495781,[5467],:,bouton_1 181,,,,
495781,[0],:,trigger 491539,,,,
495781,[0],:,trigger 493938,,,,
495816,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_1.bmp 495816,,,,
496317,[501],:,image croix 496317,,,,
498784,[2467],:,trigger 496339,,,,
498784,[0],:,bouton_1 403,,,,
498784,[0],:,trigger 498738,,,,
498787,[3],:,bouton_2 2421,,,,
498789,[2],:,bouton_2 2421,,,,
498818,[29],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_8.bmp 498818,,,,
499318,[500],:,image croix 499318,,,,
504285,[4967],:,bouton_1 144,,,,
504285,[0],:,bouton_2 144,,,,
504285,[0],:,bouton_2 406,,,,
504288,[3],:,trigger 501140,,,,
504290,[2],:,bouton_2 1822,,,,
504293,[3],:,bouton_2 1822,,,,
504295,[2],:,trigger 503539,,,,
504297,[2],:,bouton_2 4221,,,,
504299,[2],:,bouton_2 4221,,,,
504320,[21],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_8.bmp 504320,,,,
504820,[500],:,image croix 504820,,,,
508487,[3667],:,trigger 505938,,,,
508487,[0],:,bouton_2 1118,,,,
508487,[0],:,bouton_2 1118,,,,
508490,[3],:,trigger 508339,,,,
508492,[2],:,bouton_2 3519,,,,
508494,[2],:,bouton_2 3519,,,,
508521,[27],:,image nostim.bmp 508521,,,,
509022,[501],:,image croix 509022,,,,
514889,[5867],:,trigger 510739,,,,
514889,[0],:,bouton_1 1717,,,,
514889,[0],:,bouton_2 1717,,,,
514892,[3],:,bouton_1 1717,,,,
514894,[2],:,bouton_2 1717,,,,
514895,[1],:,trigger 513139,,,,
514898,[3],:,bouton_2 4117,,,,
514900,[2],:,bouton_2 4117,,,,
514924,[24],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_7.bmp 514924,,,,
515424,[500],:,image croix 515424,,,,
518291,[2867],:,trigger 515539,,,,
518291,[0],:,bouton_2 115,,,,
518291,[0],:,bouton_2 115,,,,
518294,[3],:,bouton_1 245,,,,
518296,[2],:,bouton_2 245,,,,
518298,[2],:,bouton_2 528,,,,
518299,[1],:,trigger 517938,,,,
