Cog2000 log file Thu Jun 16 08:03:50 2016,,,,,,,
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.81Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mex,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mex,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
164,[164],:,COGENT START,,,,
1460570,[1460406],:,Key,76,DOWN,at,1460557
1460581,[11],:,Debut_run 1 : run 1,,,,
1471311,[10730],:,Byte,107,COM1,at,1471310
1471311,[0],:,Byte,176,COM1,at,1471310
1471312,[1],:,Byte,219,COM1,at,1471310
1471315,[3],:,Byte,18,COM1,at,1471310
1471318,[3],:,Byte,95,COM1,at,1471310
1471325,[7],:,Byte,101,COM1,at,1471310
1471330,[5],:,Byte,107,COM1,at,1471310
1471333,[3],:,Byte,160,COM1,at,1471310
1471336,[3],:,Byte,223,COM1,at,1471310
1471337,[1],:,Byte,18,COM1,at,1471311
1471340,[3],:,Byte,95,COM1,at,1471311
1471343,[3],:,Byte,101,COM1,at,1471311
1471346,[3],:,Synchro_IRM,,,,
1471419,[73],:,image nostim.BMP 1471418,,,,
1472221,[802],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_4.BMP 1472220,,,,
1472722,[501],:,image croix 1472722,,,,
1477289,[4567],:,trigger 1473711,,,,
1477354,[65],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_4.BMP 1477354,,,,
1477856,[502],:,image croix 1477856,,,,
1482023,[4167],:,bouton_1 568,,,,
1482024,[1],:,trigger 1478509,,,,
1482024,[0],:,trigger 1480910,,,,
1482086,[62],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_3.BMP 1482086,,,,
1482587,[501],:,image croix 1482587,,,,
1486854,[4267],:,trigger 1483308,,,,
1486854,[0],:,trigger 1485709,,,,
1486919,[65],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_1.BMP 1486919,,,,
1487420,[501],:,image croix 1487420,,,,
1492187,[4767],:,bouton_1 485,,,,
1492187,[0],:,trigger 1488109,,,,
1492188,[1],:,trigger 1490509,,,,
1492236,[48],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_4.BMP 1492236,,,,
1492737,[501],:,image croix 1492737,,,,
1497104,[4367],:,trigger 1492910,,,,
1497169,[65],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_6.BMP 1497169,,,,
1497670,[501],:,image croix 1497670,,,,
1500637,[2967],:,trigger 1497711,,,,
1500637,[0],:,trigger 1500110,,,,
1500697,[60],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_8.BMP 1500697,,,,
1501198,[501],:,image croix 1501198,,,,
1506565,[5367],:,trigger 1502509,,,,
1506565,[0],:,trigger 1504909,,,,
