Cog2000 log file Tue Jun 11 16:12:26 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mex,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mex,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
ERR gprim:gDrwDIB RAS Surface GetDC() Failed (DDERR_SURFACELOST),,,,,,,
ERR gprim:gBltRAS Blt() Failed (DDERR_SURFACELOST),,,,,,,
ERR gprim:gFlip  (DDERR_SURFACELOST),,,,,,,
1836504,[468],:,image croix 1836504,,,,
ERR gprim:gFlip  (DDERR_SURFACELOST),,,,,,,
ERR gprim:gFillRect Blt() Failed (DDERR_SURFACELOST),,,,,,,
ERR gprim:gDrwDIB RAS Surface GetDC() Failed (DDERR_SURFACELOST),,,,,,,
ERR gprim:gBltRAS Blt() Failed (DDERR_SURFACELOST),,,,,,,
ERR gprim:gFlip  (DDERR_SURFACELOST),,,,,,,
1839976,[3472],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_8.BMP 1839976,,,,
ERR gprim:gFlip  (DDERR_SURFACELOST),,,,,,,
ERR gprim:gFillRect Blt() Failed (DDERR_SURFACELOST),,,,,,,
ERR gprim:gDrwDIB RAS Surface GetDC() Failed (DDERR_SURFACELOST),,,,,,,
ERR gprim:gBltRAS Blt() Failed (DDERR_SURFACELOST),,,,,,,
ERR gprim:gFlip  (DDERR_SURFACELOST),,,,,,,
1840447,[471],:,image croix 1840447,,,,
Cog2000 log file Tue Jun 11 16:43:59 2013,,,,,,,
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mex,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mex,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
3,[3],:,COGENT START,,,,
33264,[33261],:,Key,76.0,DOWN,at,33264.0
33271,[7],:,Debut_run 1 : run 1,,,,
44279,[11008],:,Byte,107.0,COM1,at,44279.0
44280,[1],:,Byte,176.0,COM1,at,44279.0
44281,[1],:,Byte,162.0,COM1,at,44279.0
44283,[2],:,Byte,134.0,COM1,at,44279.0
44285,[2],:,Byte,235.0,COM1,at,44279.0
44287,[2],:,Byte,241.0,COM1,at,44279.0
44289,[2],:,Byte,107.0,COM1,at,44279.0
44290,[1],:,Byte,160.0,COM1,at,44279.0
44294,[4],:,Byte,167.0,COM1,at,44279.0
44299,[5],:,Byte,134.0,COM1,at,44279.0
44303,[4],:,Byte,235.0,COM1,at,44279.0
44315,[12],:,Byte,241.0,COM1,at,44279.0
44320,[5],:,Synchro_IRM,,,,
44372,[52],:,image nostim.BMP 44372,,,,
45173,[801],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_6.BMP 45173,,,,
45673,[500],:,image croix 45673,,,,
51040,[5367],:,trigger 46678,,,,
51040,[0],:,trigger 49079,,,,
51076,[36],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_4.BMP 51076,,,,
51543,[467],:,trigger 51478,,,,
51576,[33],:,image croix 51576,,,,
55943,[4367],:,bouton_1 175,,,,
55944,[1],:,trigger 53877,,,,
55977,[33],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_1.BMP 55977,,,,
56444,[467],:,trigger 56278,,,,
56477,[33],:,image croix 56477,,,,
59344,[2867],:,trigger 58679,,,,
59378,[34],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_6.BMP 59378,,,,
59878,[500],:,image croix 59878,,,,
63745,[3867],:,bouton_1 875,,,,
63745,[0],:,trigger 61079,,,,
63745,[0],:,trigger 63478,,,,
63781,[36],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_2.BMP 63781,,,,
64281,[500],:,image croix 64281,,,,
68948,[4667],:,bouton_1 527,,,,
68948,[0],:,trigger 65878,,,,
68948,[0],:,trigger 68278,,,,
68983,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_8.BMP 68983,,,,
69483,[500],:,image croix 69483,,,,
73350,[3867],:,trigger 70678,,,,
73350,[0],:,trigger 73078,,,,
73384,[34],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_3.BMP 73384,,,,
73884,[500],:,image croix 73884,,,,
78751,[4867],:,trigger 75478,,,,
78751,[0],:,trigger 77878,,,,
78787,[36],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_4.BMP 78787,,,,
79287,[500],:,image croix 79287,,,,
84454,[5167],:,bouton_1 241,,,,
84454,[0],:,trigger 80278,,,,
84454,[0],:,trigger 82679,,,,
84489,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_6.BMP 84489,,,,
84989,[500],:,image croix 84989,,,,
88856,[3867],:,trigger 85078,,,,
88856,[0],:,bouton_1 767,,,,
88856,[0],:,trigger 87478,,,,
88890,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_1.BMP 88890,,,,
89391,[501],:,image croix 89391,,,,
93958,[4567],:,trigger 89878,,,,
93958,[0],:,trigger 92278,,,,
93993,[35],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_4.BMP 93993,,,,
94493,[500],:,image croix 94493,,,,
98460,[3967],:,trigger 94678,,,,
98460,[0],:,bouton_1 674,,,,
98460,[0],:,trigger 97078,,,,
98495,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_9.BMP 98495,,,,
98995,[500],:,image croix 98995,,,,
102662,[3667],:,trigger 99478,,,,
102662,[0],:,trigger 101878,,,,
102696,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_8.BMP 102696,,,,
103196,[500],:,image croix 103196,,,,
107263,[4067],:,trigger 104278,,,,
107263,[0],:,trigger 106677,,,,
107298,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_1.BMP 107298,,,,
107798,[500],:,image croix 107798,,,,
111665,[3867],:,bouton_1 372,,,,
111665,[0],:,trigger 109078,,,,
111665,[0],:,trigger 111478,,,,
111700,[35],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_7.BMP 111700,,,,
112200,[500],:,image croix 112200,,,,
117467,[5267],:,trigger 113879,,,,
117467,[0],:,trigger 116279,,,,
117502,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_5.BMP 117502,,,,
118002,[500],:,image croix 118002,,,,
122869,[4867],:,bouton_1 216,,,,
122869,[0],:,trigger 118679,,,,
122869,[0],:,trigger 121079,,,,
122904,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_9.BMP 122904,,,,
123405,[501],:,image croix 123405,,,,
127972,[4567],:,trigger 123478,,,,
127972,[0],:,trigger 125878,,,,
128006,[34],:,image nostim.BMP 128006,,,,
128473,[467],:,trigger 128279,,,,
128506,[33],:,image croix 128506,,,,
132673,[4167],:,trigger 130678,,,,
132708,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_1.BMP 132708,,,,
133175,[467],:,trigger 133078,,,,
133208,[33],:,image croix 133208,,,,
136675,[3467],:,trigger 135478,,,,
136709,[34],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_8.BMP 136709,,,,
137209,[500],:,image croix 137209,,,,
141476,[4267],:,bouton_1 394,,,,
141476,[0],:,trigger 137878,,,,
141476,[0],:,trigger 140278,,,,
141511,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_5.BMP 141511,,,,
142012,[501],:,image croix 142012,,,,
146879,[4867],:,trigger 142678,,,,
146879,[0],:,trigger 145078,,,,
146914,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_9.BMP 146914,,,,
147414,[500],:,image croix 147414,,,,
151081,[3667],:,trigger 147478,,,,
151081,[0],:,trigger 149877,,,,
151116,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_6.BMP 151116,,,,
151616,[500],:,image croix 151616,,,,
156483,[4867],:,trigger 152278,,,,
156483,[0],:,bouton_1 754,,,,
156484,[1],:,trigger 154678,,,,
156518,[34],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_1.BMP 156518,,,,
157018,[500],:,image croix 157018,,,,
161485,[4467],:,trigger 157079,,,,
161485,[0],:,trigger 159478,,,,
161520,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_2.BMP 161520,,,,
161987,[467],:,trigger 161878,,,,
162020,[33],:,image croix 162020,,,,
165287,[3267],:,bouton_1 479,,,,
165287,[0],:,trigger 164278,,,,
165321,[34],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_5.BMP 165321,,,,
165822,[501],:,image croix 165822,,,,
169489,[3667],:,trigger 166677,,,,
169489,[0],:,trigger 169078,,,,
169523,[34],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_3.BMP 169523,,,,
170023,[500],:,image croix 170023,,,,
174290,[4267],:,trigger 171478,,,,
174290,[0],:,trigger 173877,,,,
174291,[1],:,bouton_1 3854,,,,
174325,[34],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_4.BMP 174325,,,,
174825,[500],:,image croix 174825,,,,
179292,[4467],:,trigger 176279,,,,
179292,[0],:,trigger 178678,,,,
179327,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_7.BMP 179327,,,,
179827,[500],:,image croix 179827,,,,
183694,[3867],:,trigger 181078,,,,
183694,[0],:,trigger 183478,,,,
183729,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_8.BMP 183729,,,,
184229,[500],:,image croix 184229,,,,
190196,[5967],:,trigger 185877,,,,
190196,[0],:,trigger 188278,,,,
190215,[19],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_9.BMP 190215,,,,
190682,[467],:,trigger 190678,,,,
190714,[32],:,image croix 190714,,,,
194281,[3567],:,trigger 193079,,,,
194299,[18],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_5.BMP 194299,,,,
194799,[500],:,image croix 194799,,,,
198366,[3567],:,bouton_1 416,,,,
198366,[0],:,trigger 195478,,,,
198366,[0],:,trigger 197878,,,,
198401,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_8.BMP 198401,,,,
198902,[501],:,image croix 198901,,,,
203968,[5066],:,trigger 200278,,,,
203968,[0],:,trigger 202678,,,,
203987,[19],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_2.BMP 203987,,,,
204487,[500],:,image croix 204487,,,,
208155,[3668],:,trigger 205078,,,,
208155,[0],:,bouton_1 646,,,,
208155,[0],:,trigger 207478,,,,
208188,[33],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_6.BMP 208188,,,,
208689,[501],:,image croix 208689,,,,
212656,[3967],:,bouton_1 785,,,,
212656,[0],:,trigger 209877,,,,
212656,[0],:,trigger 212279,,,,
212690,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_4.BMP 212690,,,,
213191,[501],:,image croix 213190,,,,
217257,[4066],:,trigger 214678,,,,
217257,[0],:,trigger 217079,,,,
217292,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_1.BMP 217292,,,,
217792,[500],:,image croix 217792,,,,
223559,[5767],:,trigger 219478,,,,
223559,[0],:,trigger 221878,,,,
223594,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_1.BMP 223594,,,,
224095,[501],:,image croix 224095,,,,
227662,[3567],:,trigger 224278,,,,
227662,[0],:,trigger 226678,,,,
