Cog2000 log file Tue Jun 26 18:36:57 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.95Hz,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
0,[0],:,COGENT START,,,,
431896,[431896],:,Key,76.0,DOWN,at,431896.0
431896,[0],:,Debut_run 1 : run 1,,,,
443008,[11112],:,Byte,107.0,COM1,at,443008.0
443009,[1],:,Byte,176.0,COM1,at,443008.0
443009,[0],:,Byte,43.0,COM1,at,443008.0
443011,[2],:,Byte,217.0,COM1,at,443008.0
443014,[3],:,Byte,129.0,COM1,at,443008.0
443016,[2],:,Byte,0.0,COM1,at,443008.0
443018,[2],:,Byte,107.0,COM1,at,443008.0
443020,[2],:,Byte,160.0,COM1,at,443008.0
443022,[2],:,Byte,48.0,COM1,at,443008.0
443024,[2],:,Byte,217.0,COM1,at,443008.0
443027,[3],:,Byte,129.0,COM1,at,443008.0
443029,[2],:,Byte,0.0,COM1,at,443008.0
443031,[2],:,Synchro_IRM,,,,
443063,[32],:,image nostim.BMP 443063,,,,
443262,[199],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_7.BMP 443262,,,,
443763,[501],:,image croix 443763,,,,
448430,[4667],:,trigger 445408,,,,
448430,[0],:,trigger 447808,,,,
448465,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_1.BMP 448465,,,,
448965,[500],:,image croix 448965,,,,
454032,[5067],:,trigger 450209,,,,
454032,[0],:,trigger 452608,,,,
454050,[18],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_7.BMP 454050,,,,
454550,[500],:,image croix 454550,,,,
458817,[4267],:,bouton_1 199,,,,
458817,[0],:,trigger 455008,,,,
458817,[0],:,trigger 457408,,,,
458852,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_9.BMP 458852,,,,
459352,[500],:,image croix 459352,,,,
463519,[4167],:,bouton_1 314,,,,
463519,[0],:,trigger 459808,,,,
463519,[0],:,trigger 462208,,,,
463554,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_5.BMP 463554,,,,
464054,[500],:,image croix 464054,,,,
468421,[4367],:,bouton_1 455,,,,
468421,[0],:,trigger 464609,,,,
468421,[0],:,trigger 467008,,,,
468457,[36],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_5.BMP 468457,,,,
468957,[500],:,image croix 468957,,,,
473724,[4767],:,bouton_1 206,,,,
473724,[0],:,trigger 469409,,,,
473724,[0],:,trigger 471808,,,,
473758,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_2.BMP 473758,,,,
474225,[467],:,trigger 474209,,,,
474258,[33],:,image croix 474258,,,,
477025,[2767],:,trigger 476609,,,,
477060,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_7.BMP 477059,,,,
477560,[500],:,image croix 477560,,,,
481927,[4367],:,trigger 479008,,,,
481927,[0],:,trigger 481409,,,,
481962,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_5.BMP 481962,,,,
482462,[500],:,image croix 482462,,,,
486329,[3867],:,trigger 483808,,,,
486329,[0],:,trigger 486209,,,,
486364,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_3.BMP 486364,,,,
486864,[500],:,image croix 486864,,,,
493031,[6167],:,bouton_1 1660,,,,
493031,[0],:,trigger 488609,,,,
493031,[0],:,trigger 491007,,,,
493066,[35],:,image nostim.BMP 493066,,,,
493533,[467],:,trigger 493408,,,,
493566,[33],:,image croix 493566,,,,
496433,[2867],:,trigger 495808,,,,
496467,[34],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_2.BMP 496467,,,,
496967,[500],:,image croix 496967,,,,
500734,[3767],:,trigger 498209,,,,
500734,[0],:,bouton_1 1314,,,,
500734,[0],:,trigger 498281,,,,
500737,[3],:,trigger 500608,,,,
500769,[32],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_6.BMP 500769,,,,
501269,[500],:,image croix 501269,,,,
506436,[5167],:,trigger 503008,,,,
506436,[0],:,trigger 505409,,,,
506455,[19],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_6.BMP 506455,,,,
506955,[500],:,image croix 506955,,,,
511422,[4467],:,trigger 507809,,,,
511422,[0],:,trigger 510209,,,,
511440,[18],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_5.BMP 511440,,,,
511940,[500],:,image croix 511940,,,,
516207,[4267],:,bouton_1 272,,,,
516207,[0],:,trigger 512607,,,,
516207,[0],:,trigger 515008,,,,
516241,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_1.BMP 516241,,,,
516743,[502],:,image croix 516743,,,,
520210,[3467],:,bouton_1 472,,,,
520210,[0],:,trigger 517409,,,,
520210,[0],:,trigger 519808,,,,
520244,[34],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_7.BMP 520244,,,,
520744,[500],:,image croix 520744,,,,
525712,[4968],:,trigger 522208,,,,
525712,[0],:,trigger 524608,,,,
525746,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_3.BMP 525746,,,,
526247,[501],:,image croix 526246,,,,
529613,[3366],:,trigger 527008,,,,
529613,[0],:,trigger 529408,,,,
529648,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_8.BMP 529647,,,,
530148,[500],:,image croix 530148,,,,
536115,[5967],:,bouton_1 411,,,,
536115,[0],:,trigger 531808,,,,
536115,[0],:,trigger 534209,,,,
536150,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_5.BMP 536150,,,,
536617,[467],:,trigger 536609,,,,
536650,[33],:,image croix 536650,,,,
541017,[4367],:,bouton_1 526,,,,
541017,[0],:,trigger 539007,,,,
541036,[19],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_6.BMP 541036,,,,
541503,[467],:,trigger 541409,,,,
541536,[33],:,image croix 541536,,,,
544703,[3167],:,bouton_1 773,,,,
544703,[0],:,trigger 543808,,,,
544737,[34],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_9.BMP 544737,,,,
545237,[500],:,image croix 545237,,,,
550404,[5167],:,bouton_1 282,,,,
550404,[0],:,trigger 546209,,,,
550404,[0],:,trigger 548609,,,,
550439,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_6.BMP 550439,,,,
550939,[500],:,image croix 550939,,,,
555006,[4067],:,trigger 551009,,,,
555006,[0],:,trigger 553409,,,,
555006,[0],:,bouton_1 2837,,,,
555042,[36],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_3.BMP 555042,,,,
555542,[500],:,image croix 555542,,,,
558609,[3067],:,trigger 555808,,,,
558609,[0],:,bouton_1 1976,,,,
558609,[0],:,trigger 558208,,,,
558642,[33],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_4.BMP 558642,,,,
559143,[501],:,image croix 559143,,,,
563310,[4167],:,trigger 560608,,,,
563310,[0],:,trigger 563004,,,,
563344,[34],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_8.BMP 563344,,,,
563844,[500],:,image croix 563844,,,,
568911,[5067],:,trigger 565409,,,,
568911,[0],:,trigger 567808,,,,
568930,[19],:,image nostim.BMP 568930,,,,
569430,[500],:,image croix 569430,,,,
573897,[4467],:,trigger 570209,,,,
573897,[0],:,trigger 572608,,,,
573932,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_1.BMP 573932,,,,
574432,[500],:,image croix 574432,,,,
579099,[4667],:,trigger 575007,,,,
579099,[0],:,trigger 577408,,,,
579134,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_8.BMP 579134,,,,
579634,[500],:,image croix 579634,,,,
583801,[4167],:,trigger 579808,,,,
583801,[0],:,bouton_1 359,,,,
583801,[0],:,trigger 582209,,,,
583837,[36],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_3.BMP 583837,,,,
584337,[500],:,image croix 584337,,,,
587904,[3567],:,trigger 584610,,,,
587904,[0],:,bouton_1 526,,,,
587904,[0],:,trigger 587009,,,,
587938,[34],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_1.BMP 587938,,,,
588438,[500],:,image croix 588438,,,,
591905,[3467],:,trigger 589409,,,,
591905,[0],:,trigger 591809,,,,
591939,[34],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_8.BMP 591939,,,,
592440,[501],:,image croix 592439,,,,
596706,[4266],:,trigger 594209,,,,
596706,[0],:,trigger 596608,,,,
596742,[36],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_9.BMP 596741,,,,
597242,[500],:,image croix 597242,,,,
603009,[5767],:,bouton_1 257,,,,
603009,[0],:,trigger 599008,,,,
603009,[0],:,trigger 601409,,,,
603044,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_6.BMP 603044,,,,
603545,[501],:,image croix 603544,,,,
607911,[4366],:,trigger 603808,,,,
607911,[0],:,bouton_1 343,,,,
607911,[0],:,trigger 606209,,,,
607946,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_2.BMP 607946,,,,
608446,[500],:,image croix 608446,,,,
612913,[4467],:,trigger 608608,,,,
612913,[0],:,trigger 611007,,,,
612931,[18],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_8.BMP 612931,,,,
613431,[500],:,image croix 613431,,,,
616198,[2767],:,trigger 613409,,,,
616198,[0],:,bouton_1 337,,,,
616198,[0],:,trigger 615808,,,,
616232,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_9.BMP 616232,,,,
616733,[501],:,image croix 616733,,,,
621100,[4367],:,trigger 618209,,,,
621100,[0],:,trigger 620609,,,,
