Cog2000 log file Tue Feb 05 17:19:38 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mex,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mex,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
3,[3],:,COGENT START,,,,
33321,[33318],:,Key,76.0,DOWN,at,33321.0
33328,[7],:,Debut_run 1 : run 1,,,,
84261,[50933],:,Byte,107.0,COM1,at,84261.0
84262,[1],:,Byte,176.0,COM1,at,84261.0
84262,[0],:,Byte,120.0,COM1,at,84261.0
84265,[3],:,Byte,199.0,COM1,at,84261.0
84269,[4],:,Byte,35.0,COM1,at,84261.0
84272,[3],:,Byte,36.0,COM1,at,84261.0
84273,[1],:,Byte,107.0,COM1,at,84261.0
84275,[2],:,Byte,160.0,COM1,at,84261.0
84277,[2],:,Byte,124.0,COM1,at,84261.0
84279,[2],:,Byte,199.0,COM1,at,84261.0
84282,[3],:,Byte,35.0,COM1,at,84261.0
84285,[3],:,Byte,36.0,COM1,at,84261.0
84287,[2],:,Synchro_IRM,,,,
84340,[53],:,image nostim.bmp 84340,,,,
84373,[33],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_5.bmp 84373,,,,
84873,[500],:,image croix 84873,,,,
90140,[5267],:,bouton_1 882,,,,
90140,[0],:,bouton_2 882,,,,
90141,[1],:,trigger 86660,,,,
90144,[3],:,trigger 89061,,,,
90176,[32],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_2.bmp 90175,,,,
90676,[500],:,image croix 90676,,,,
94543,[3867],:,bouton_1 10,,,,
94543,[0],:,trigger 91461,,,,
94545,[2],:,trigger 93860,,,,
94577,[32],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_8.bmp 94577,,,,
95077,[500],:,image croix 95077,,,,
100044,[4967],:,bouton_1 156,,,,
100044,[0],:,trigger 96260,,,,
100045,[1],:,trigger 98660,,,,
100079,[34],:,image nostim.bmp 100079,,,,
100579,[500],:,image croix 100579,,,,
104746,[4167],:,trigger 101061,,,,
104746,[0],:,trigger 103462,,,,
104781,[35],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_2.bmp 104781,,,,
105248,[467],:,bouton_1 452,,,,
105281,[33],:,image croix 105281,,,,
109848,[4567],:,trigger 105861,,,,
109848,[0],:,trigger 108261,,,,
109883,[35],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_7.bmp 109883,,,,
110384,[501],:,image croix 110384,,,,
113251,[2867],:,bouton_1 -5,,,,
113251,[0],:,trigger 110660,,,,
113251,[0],:,trigger 113061,,,,
113284,[33],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_6.bmp 113284,,,,
113751,[467],:,bouton_1 426,,,,
113785,[34],:,image croix 113785,,,,
118052,[4267],:,trigger 115461,,,,
118052,[0],:,trigger 117861,,,,
118087,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_5.bmp 118087,,,,
118587,[500],:,image croix 118587,,,,
123354,[4767],:,bouton_1 123,,,,
123354,[0],:,trigger 120261,,,,
123354,[0],:,trigger 122661,,,,
123389,[35],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_5.bmp 123389,,,,
123889,[500],:,image croix 123889,,,,
127856,[3967],:,trigger 125061,,,,
127856,[0],:,trigger 127460,,,,
127891,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_5.bmp 127891,,,,
128390,[499],:,image croix 128390,,,,
133957,[5567],:,trigger 129860,,,,
133957,[0],:,trigger 132261,,,,
133977,[20],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_1.bmp 133977,,,,
134477,[500],:,image croix 134477,,,,
139044,[4567],:,bouton_1 25,,,,
139044,[0],:,trigger 134661,,,,
139044,[0],:,trigger 137062,,,,
139078,[34],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_6.bmp 139078,,,,
139545,[467],:,trigger 139461,,,,
139578,[33],:,image croix 139578,,,,
142145,[2567],:,bouton_1 -4,,,,
142145,[0],:,trigger 141860,,,,
142163,[18],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_6.bmp 142163,,,,
142663,[500],:,image croix 142663,,,,
148030,[5367],:,trigger 144261,,,,
148030,[0],:,trigger 146661,,,,
148065,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_1.bmp 148065,,,,
148565,[500],:,image croix 148565,,,,
152432,[3867],:,trigger 149062,,,,
152432,[0],:,trigger 151461,,,,
152467,[35],:,image nostim.bmp 152467,,,,
152967,[500],:,image croix 152967,,,,
156434,[3467],:,trigger 153860,,,,
156434,[0],:,trigger 156261,,,,
156469,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_8.bmp 156469,,,,
156969,[500],:,image croix 156969,,,,
161336,[4367],:,bouton_1 80,,,,
161336,[0],:,trigger 158661,,,,
161336,[0],:,trigger 161061,,,,
161371,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_6.bmp 161371,,,,
161838,[467],:,bouton_1 406,,,,
161871,[33],:,image croix 161871,,,,
167738,[5867],:,trigger 163461,,,,
167738,[0],:,bouton_2 1590,,,,
167739,[1],:,trigger 165861,,,,
167773,[34],:,image nostim.bmp 167773,,,,
168273,[500],:,image croix 168273,,,,
171540,[3267],:,trigger 168261,,,,
171540,[0],:,trigger 170660,,,,
171575,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_4.bmp 171575,,,,
172075,[500],:,image croix 172075,,,,
176542,[4467],:,trigger 173061,,,,
176542,[0],:,trigger 175461,,,,
176577,[35],:,image nostim.bmp 176577,,,,
177077,[500],:,image croix 177077,,,,
182144,[5067],:,trigger 177861,,,,
182144,[0],:,trigger 180261,,,,
182162,[18],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_6.bmp 182162,,,,
182662,[500],:,image croix 182662,,,,
186529,[3867],:,trigger 182661,,,,
