Cog2000 log file Tue Jan 29 17:08:01 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
0,[0],:,COGENT START,,,,
700238,[700238],:,Key,76.0,DOWN,at,700238.0
700238,[0],:,Debut_run 1 : run 1,,,,
722736,[22498],:,Byte,107.0,COM1,at,722736.0
722736,[0],:,Byte,176.0,COM1,at,722736.0
722737,[1],:,Byte,206.0,COM1,at,722736.0
722739,[2],:,Byte,38.0,COM1,at,722736.0
722741,[2],:,Byte,81.0,COM1,at,722736.0
722743,[2],:,Byte,0.0,COM1,at,722736.0
722746,[3],:,Byte,107.0,COM1,at,722736.0
722748,[2],:,Byte,160.0,COM1,at,722736.0
722750,[2],:,Byte,211.0,COM1,at,722736.0
722752,[2],:,Byte,38.0,COM1,at,722736.0
722754,[2],:,Byte,81.0,COM1,at,722736.0
722756,[2],:,Byte,0.0,COM1,at,722736.0
722758,[2],:,Synchro_IRM,,,,
722793,[35],:,image nostim.bmp 722792,,,,
723193,[400],:,image nostim.bmp 723193,,,,
723693,[500],:,image croix 723693,,,,
728860,[5167],:,trigger 725130,,,,
728860,[0],:,bouton_1 1437,,,,
728860,[0],:,bouton_1 1442,,,,
728863,[3],:,bouton_1 1442,,,,
728864,[1],:,trigger 727535,,,,
728895,[31],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_8.bmp 728895,,,,
729395,[500],:,image croix 729395,,,,
734162,[4767],:,trigger 729935,,,,
734162,[0],:,trigger 732334,,,,
734197,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_4.bmp 734197,,,,
734697,[500],:,image croix 734697,,,,
738264,[3567],:,trigger 734735,,,,
738264,[0],:,trigger 737134,,,,
738299,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_7.bmp 738299,,,,
738799,[500],:,image croix 738799,,,,
742966,[4167],:,trigger 739534,,,,
742966,[0],:,trigger 741935,,,,
743000,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_5.bmp 743000,,,,
743501,[501],:,image croix 743501,,,,
747868,[4367],:,bouton_1 162,,,,
747868,[0],:,trigger 744335,,,,
747868,[0],:,trigger 746735,,,,
747903,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_2.bmp 747903,,,,
748403,[500],:,image croix 748403,,,,
752070,[3667],:,trigger 749135,,,,
752070,[0],:,trigger 751535,,,,
752105,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_8.bmp 752105,,,,
752605,[500],:,image croix 752605,,,,
758172,[5567],:,trigger 753936,,,,
758172,[0],:,trigger 756336,,,,
758207,[35],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_5.bmp 758206,,,,
758673,[466],:,bouton_1 439,,,,
758707,[34],:,image croix 758707,,,,
761774,[3067],:,trigger 758735,,,,
761774,[0],:,trigger 761135,,,,
761808,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_3.bmp 761808,,,,
762309,[501],:,image croix 762309,,,,
767876,[5567],:,trigger 763534,,,,
767876,[0],:,trigger 765935,,,,
767910,[34],:,image nostim.bmp 767910,,,,
768377,[467],:,trigger 768334,,,,
768410,[33],:,image croix 768410,,,,
771977,[3567],:,trigger 770736,,,,
772012,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_8.bmp 772012,,,,
772513,[501],:,image croix 772513,,,,
775580,[3067],:,bouton_1 16,,,,
775580,[0],:,trigger 773135,,,,
775580,[0],:,trigger 775535,,,,
775614,[34],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_3.bmp 775614,,,,
776081,[467],:,bouton_1 434,,,,
776114,[33],:,image croix 776114,,,,
781681,[5567],:,trigger 777935,,,,
781681,[0],:,trigger 780335,,,,
781699,[18],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_7.bmp 781699,,,,
782199,[500],:,image croix 782199,,,,
785566,[3367],:,trigger 782735,,,,
785566,[0],:,trigger 785135,,,,
785584,[18],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_2.bmp 785584,,,,
786052,[468],:,bouton_1 389,,,,
786084,[32],:,image croix 786084,,,,
791951,[5867],:,trigger 787534,,,,
791951,[0],:,trigger 789936,,,,
791970,[19],:,image nostim.bmp 791970,,,,
792437,[467],:,trigger 792335,,,,
792437,[0],:,bouton_2 365,,,,
792471,[34],:,image croix 792471,,,,
796538,[4067],:,trigger 794736,,,,
796572,[34],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_1.bmp 796572,,,,
797072,[500],:,image croix 797072,,,,
801339,[4267],:,bouton_1 51,,,,
801339,[0],:,trigger 797135,,,,
801339,[0],:,trigger 799535,,,,
801374,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_7.bmp 801374,,,,
801874,[500],:,image croix 801874,,,,
804841,[2967],:,trigger 801935,,,,
804841,[0],:,trigger 804336,,,,
804875,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_7.bmp 804875,,,,
805376,[501],:,image croix 805375,,,,
810142,[4766],:,trigger 806735,,,,
810142,[0],:,trigger 809135,,,,
810161,[19],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_9.bmp 810161,,,,
810661,[500],:,image croix 810661,,,,
814728,[4067],:,bouton_1 32,,,,
814728,[0],:,trigger 811534,,,,
814728,[0],:,trigger 813935,,,,
814763,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_1.bmp 814763,,,,
815230,[467],:,bouton_1 453,,,,
815263,[33],:,image croix 815263,,,,
820530,[5267],:,trigger 816335,,,,
820530,[0],:,trigger 818735,,,,
820530,[0],:,bouton_2 3472,,,,
820566,[36],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_9.bmp 820565,,,,
821066,[500],:,image croix 821066,,,,
825333,[4267],:,trigger 821135,,,,
825333,[0],:,trigger 823534,,,,
825333,[0],:,trigger 823534,,,,
825336,[3],:,trigger 823534,,,,
