Cog2000 log file Tue Jun 19 15:24:57 2012,,,,,,,
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.95Hz,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
668711,[3],:,trigger 665478,,,,
668712,[1],:,trigger 667878,,,,
668743,[31],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_2.BMP 668743,,,,
669243,[500],:,image croix 669243,,,,
673910,[4667],:,bouton_1 110,,,,
673910,[0],:,trigger 670278,,,,
673910,[0],:,trigger 672678,,,,
673945,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_9.BMP 673945,,,,
674445,[500],:,image croix 674445,,,,
679112,[4667],:,bouton_1 93,,,,
679112,[0],:,trigger 674710,,,,
679112,[0],:,trigger 675078,,,,
679115,[3],:,trigger 677478,,,,
679147,[32],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_8.BMP 679147,,,,
679647,[500],:,image croix 679647,,,,
683114,[3467],:,bouton_1 183,,,,
683114,[0],:,trigger 679878,,,,
683114,[0],:,trigger 682278,,,,
683148,[34],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_2.BMP 683148,,,,
683649,[501],:,image croix 683649,,,,
687916,[4267],:,trigger 684678,,,,
687916,[0],:,trigger 687078,,,,
687951,[35],:,image nostim.BMP 687951,,,,
688451,[500],:,image croix 688451,,,,
693918,[5467],:,trigger 689478,,,,
693918,[0],:,trigger 691878,,,,
693936,[18],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_4.BMP 693936,,,,
694403,[467],:,trigger 694278,,,,
694436,[33],:,image croix 694436,,,,
697803,[3367],:,bouton_1 -33,,,,
697803,[0],:,trigger 696678,,,,
697837,[34],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_5.BMP 697837,,,,
698337,[500],:,image croix 698337,,,,
703404,[5067],:,trigger 699078,,,,
703404,[0],:,trigger 701479,,,,
703423,[19],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_4.BMP 703423,,,,
703890,[467],:,trigger 703878,,,,
703923,[33],:,image croix 703923,,,,
706990,[3067],:,trigger 706278,,,,
