Cog2000 log file Tue Feb 05 16:10:49 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mex,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mex,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
521538,[33],:,image croix 521538,,,,
525605,[4067],:,bouton_1 244,,,,
525605,[0],:,trigger 523780,,,,
525640,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_8.bmp 525639,,,,
526140,[500],:,image croix 526140,,,,
529507,[3367],:,trigger 526181,,,,
529507,[0],:,bouton_1 180,,,,
529507,[0],:,trigger 528581,,,,
529542,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_4.bmp 529542,,,,
530042,[500],:,image croix 530042,,,,
535209,[5167],:,bouton_1 177,,,,
535209,[0],:,trigger 530518,,,,
535210,[1],:,trigger 530980,,,,
535212,[2],:,trigger 533380,,,,
535244,[32],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_3.bmp 535244,,,,
535744,[500],:,image croix 535744,,,,
539311,[3567],:,trigger 535781,,,,
539311,[0],:,bouton_1 167,,,,
539311,[0],:,trigger 538180,,,,
539345,[34],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_1.bmp 539345,,,,
539845,[500],:,image croix 539845,,,,
544013,[4168],:,trigger 540581,,,,
544013,[0],:,trigger 542981,,,,
544047,[34],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_9.bmp 544047,,,,
544547,[500],:,image croix 544547,,,,
548714,[4167],:,trigger 545381,,,,
548714,[0],:,trigger 547781,,,,
548749,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_9.bmp 548749,,,,
549250,[501],:,image croix 549250,,,,
554317,[5067],:,trigger 550180,,,,
554317,[0],:,trigger 552581,,,,
554351,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_6.bmp 554351,,,,
554851,[500],:,image croix 554851,,,,
559218,[4367],:,trigger 554981,,,,
559218,[0],:,bouton_1 191,,,,
559218,[0],:,bouton_2 191,,,,
559221,[3],:,trigger 557376,,,,
559253,[32],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_7.bmp 559253,,,,
