Cog2000 log file Tue Jul 03 18:19:24 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mex,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mex,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
2,[2],:,COGENT START,,,,
487331,[487329],:,Key,76.0,DOWN,at,487331.0
487337,[6],:,Debut_run 1 : run 1,,,,
498370,[11033],:,Byte,107.0,COM1,at,498370.0
498377,[7],:,Byte,176.0,COM1,at,498370.0
498377,[0],:,Byte,172.0,COM1,at,498370.0
498377,[0],:,Byte,65.0,COM1,at,498370.0
498379,[2],:,Byte,133.0,COM1,at,498370.0
498382,[3],:,Byte,0.0,COM1,at,498370.0
498384,[2],:,Byte,107.0,COM1,at,498370.0
498387,[3],:,Byte,160.0,COM1,at,498370.0
498390,[3],:,Byte,177.0,COM1,at,498370.0
498393,[3],:,Byte,65.0,COM1,at,498370.0
498394,[1],:,Byte,133.0,COM1,at,498370.0
498396,[2],:,Byte,0.0,COM1,at,498370.0
498399,[3],:,Synchro_IRM,,,,
498445,[46],:,image nostim.BMP 498445,,,,
499845,[1400],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_8.BMP 499845,,,,
500345,[500],:,image croix 500345,,,,
503712,[3367],:,bouton_1 111,,,,
503712,[0],:,trigger 500769,,,,
503713,[1],:,trigger 503169,,,,
503747,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_3.BMP 503747,,,,
504247,[500],:,image croix 504247,,,,
509715,[5468],:,bouton_1 306,,,,
509715,[0],:,trigger 505569,,,,
509715,[0],:,trigger 505569,,,,
509719,[4],:,trigger 507969,,,,
509749,[30],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_7.BMP 509749,,,,
510250,[501],:,image croix 510250,,,,
513317,[3067],:,trigger 510369,,,,
513317,[0],:,trigger 512770,,,,
513350,[33],:,image nostim.BMP 513350,,,,
513851,[501],:,image croix 513850,,,,
518217,[4366],:,trigger 515169,,,,
518217,[0],:,trigger 517568,,,,
518251,[34],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_9.BMP 518251,,,,
518751,[500],:,image croix 518751,,,,
522418,[3667],:,bouton_1 93,,,,
522418,[0],:,trigger 519969,,,,
522418,[0],:,trigger 522369,,,,
522455,[37],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_4.BMP 522453,,,,
522955,[500],:,image croix 522955,,,,
528322,[5367],:,trigger 524769,,,,
528322,[0],:,trigger 527169,,,,
528357,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_3.BMP 528356,,,,
528857,[500],:,image croix 528857,,,,
533024,[4167],:,bouton_1 432,,,,
533024,[0],:,trigger 529569,,,,
533024,[0],:,trigger 531969,,,,
533058,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_4.BMP 533058,,,,
533558,[500],:,image croix 533558,,,,
538125,[4567],:,trigger 534369,,,,
538125,[0],:,trigger 536769,,,,
538161,[36],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_7.BMP 538161,,,,
538661,[500],:,image croix 538661,,,,
543228,[4567],:,trigger 539169,,,,
543228,[0],:,trigger 541569,,,,
543262,[34],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_9.BMP 543262,,,,
543762,[500],:,image croix 543762,,,,
548329,[4567],:,trigger 543968,,,,
548329,[0],:,trigger 546369,,,,
548348,[19],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_8.BMP 548348,,,,
548815,[467],:,trigger 548769,,,,
548848,[33],:,image croix 548848,,,,
552615,[3767],:,bouton_1 111,,,,
552615,[0],:,trigger 551169,,,,
552650,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_1.BMP 552650,,,,
553150,[500],:,image croix 553150,,,,
557017,[3867],:,bouton_1 261,,,,
557017,[0],:,trigger 553569,,,,
557017,[0],:,trigger 555969,,,,
557051,[34],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_5.BMP 557051,,,,
557551,[500],:,image croix 557551,,,,
561118,[3567],:,trigger 558369,,,,
561118,[0],:,trigger 560769,,,,
561153,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_9.BMP 561153,,,,
561653,[500],:,image croix 561653,,,,
566920,[5267],:,trigger 563169,,,,
566920,[0],:,trigger 565570,,,,
566956,[36],:,image nostim.BMP 566956,,,,
567456,[500],:,image croix 567456,,,,
570823,[3367],:,trigger 567970,,,,
570823,[0],:,bouton_2 514,,,,
570823,[0],:,bouton_2 514,,,,
570828,[5],:,trigger 570370,,,,
570857,[29],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_3.BMP 570857,,,,
571357,[500],:,image croix 571357,,,,
576025,[4668],:,bouton_1 150,,,,
576025,[0],:,trigger 572769,,,,
576025,[0],:,trigger 575169,,,,
576059,[34],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_1.BMP 576059,,,,
576559,[500],:,image croix 576559,,,,
580426,[3867],:,trigger 577569,,,,
580426,[0],:,trigger 579968,,,,
580460,[34],:,image nostim.BMP 580460,,,,
580961,[501],:,image croix 580961,,,,
585328,[4367],:,trigger 582369,,,,
585328,[0],:,trigger 584769,,,,
585346,[18],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_4.BMP 585346,,,,
585846,[500],:,image croix 585846,,,,
589813,[3967],:,trigger 587164,,,,
589813,[0],:,trigger 589570,,,,
589848,[35],:,image nostim.BMP 589848,,,,
590348,[500],:,image croix 590348,,,,
595315,[4967],:,trigger 591969,,,,
595315,[0],:,trigger 594370,,,,
595334,[19],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_6.BMP 595334,,,,
595834,[500],:,image croix 595834,,,,
601101,[5267],:,trigger 596769,,,,
601101,[0],:,trigger 599169,,,,
601136,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_3.BMP 601136,,,,
