Cog2000 log file Tue Jul 10 17:36:57 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
0,[0],:,COGENT START,,,,
791186,[791186],:,Key,76.0,DOWN,at,791186.0
791186,[0],:,Debut_run 1 : run 1,,,,
802012,[10826],:,Byte,107.0,COM1,at,802011.0
802012,[0],:,Byte,176.0,COM1,at,802011.0
802012,[0],:,Synchro_IRM,,,,
802044,[32],:,image nostim.BMP 802043,,,,
803644,[1600],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_3.BMP 803644,,,,
804144,[500],:,image croix 804144,,,,
807111,[2967],:,bouton_1 194,,,,
807111,[0],:,trigger 804411,,,,
807111,[0],:,trigger 806812,,,,
807146,[35],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_7.BMP 807146,,,,
807646,[500],:,image croix 807646,,,,
813113,[5467],:,bouton_1 176,,,,
813113,[0],:,trigger 809211,,,,
813113,[0],:,trigger 811612,,,,
813148,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_1.BMP 813148,,,,
813648,[500],:,image croix 813648,,,,
818015,[4367],:,trigger 814011,,,,
818015,[0],:,trigger 816411,,,,
818015,[0],:,bouton_1 2763,,,,
818017,[2],:,bouton_1 2763,,,,
818050,[33],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_6.BMP 818050,,,,
818550,[500],:,image croix 818550,,,,
822617,[4067],:,trigger 818811,,,,
822617,[0],:,trigger 821211,,,,
822652,[35],:,image nostim.BMP 822652,,,,
823152,[500],:,image croix 823152,,,,
827719,[4567],:,trigger 823611,,,,
827719,[0],:,trigger 826011,,,,
827754,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_5.BMP 827754,,,,
828254,[500],:,image croix 828254,,,,
831921,[3667],:,trigger 828411,,,,
831921,[0],:,trigger 830812,,,,
831955,[34],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_4.BMP 831955,,,,
832455,[500],:,image croix 832455,,,,
837422,[4967],:,bouton_1 423,,,,
837422,[0],:,trigger 833212,,,,
837422,[0],:,trigger 835612,,,,
837458,[36],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_6.BMP 837457,,,,
837958,[500],:,image croix 837958,,,,
840825,[2867],:,trigger 838012,,,,
840825,[0],:,trigger 840411,,,,
840860,[35],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_1.BMP 840859,,,,
841360,[500],:,image croix 841360,,,,
847227,[5867],:,bouton_1 110,,,,
847227,[0],:,trigger 842812,,,,
847227,[0],:,trigger 845212,,,,
847262,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_1.BMP 847262,,,,
847729,[467],:,trigger 847612,,,,
847762,[33],:,image croix 847762,,,,
850529,[2767],:,trigger 850012,,,,
850563,[34],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_3.BMP 850563,,,,
851064,[501],:,image croix 851063,,,,
855130,[4066],:,trigger 852411,,,,
855130,[0],:,trigger 854812,,,,
855165,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_9.BMP 855165,,,,
855665,[500],:,image croix 855665,,,,
860832,[5167],:,trigger 857211,,,,
860832,[0],:,trigger 859612,,,,
860851,[19],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_2.BMP 860851,,,,
861351,[500],:,image croix 861351,,,,
864518,[3167],:,bouton_1 534,,,,
864518,[0],:,trigger 862012,,,,
864518,[0],:,trigger 864411,,,,
864552,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_5.BMP 864552,,,,
865052,[500],:,image croix 865052,,,,
870919,[5867],:,bouton_1 299,,,,
870919,[0],:,trigger 866812,,,,
870919,[0],:,trigger 869212,,,,
870954,[35],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_6.BMP 870954,,,,
871454,[500],:,image croix 871454,,,,
875221,[3767],:,trigger 871612,,,,
875221,[0],:,bouton_1 258,,,,
875221,[0],:,trigger 874012,,,,
875256,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_8.BMP 875256,,,,
875756,[500],:,image croix 875756,,,,
879623,[3867],:,trigger 876412,,,,
879623,[0],:,trigger 878813,,,,
879658,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_2.BMP 879658,,,,
880158,[500],:,image croix 880158,,,,
884825,[4667],:,trigger 881212,,,,
884825,[0],:,trigger 883612,,,,
884861,[36],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_9.BMP 884861,,,,
885361,[500],:,image croix 885361,,,,
890028,[4667],:,trigger 886012,,,,
890028,[0],:,trigger 886012,,,,
890028,[0],:,trigger 888411,,,,
890063,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_8.BMP 890063,,,,
890563,[500],:,image croix 890563,,,,
894030,[3467],:,trigger 890812,,,,
894030,[0],:,trigger 893211,,,,
894064,[34],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_2.BMP 894064,,,,
894564,[500],:,image croix 894564,,,,
898831,[4267],:,trigger 895613,,,,
898831,[0],:,trigger 898012,,,,
898865,[34],:,image nostim.BMP 898865,,,,
899366,[501],:,image croix 899366,,,,
904833,[5467],:,trigger 900412,,,,
904833,[0],:,trigger 902812,,,,
904868,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_4.BMP 904868,,,,
905335,[467],:,trigger 905206,,,,
905368,[33],:,image croix 905368,,,,
908735,[3367],:,bouton_1 300,,,,
908735,[0],:,trigger 907613,,,,
908753,[18],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_5.BMP 908753,,,,
909253,[500],:,image croix 909253,,,,
914321,[5068],:,trigger 910012,,,,
914321,[0],:,trigger 912412,,,,
914356,[35],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_4.BMP 914356,,,,
914823,[467],:,trigger 914812,,,,
914856,[33],:,image croix 914856,,,,
917923,[3067],:,trigger 917212,,,,
