Cog2000 log file Tue Jan 22 15:55:30 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mex,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mex,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
2323124,[19],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_9.bmp 2323124,,,,
2323624,[500],:,image croix 2323624,,,,
2326991,[3367],:,trigger 2324120,,,,
2326991,[0],:,bouton_1 859,,,,
2326992,[1],:,trigger 2326520,,,,
2327025,[33],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_4.bmp 2327025,,,,
2327525,[500],:,image croix 2327525,,,,
2332592,[5067],:,trigger 2328920,,,,
2332592,[0],:,trigger 2331320,,,,
2332612,[20],:,image nostim.bmp 2332612,,,,
2333111,[499],:,image croix 2333111,,,,
2337978,[4867],:,trigger 2333720,,,,
2337978,[0],:,trigger 2336120,,,,
2338013,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_1.bmp 2338012,,,,
2338513,[500],:,image croix 2338513,,,,
2342080,[3567],:,trigger 2338520,,,,
2342080,[0],:,trigger 2340920,,,,
2342115,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_2.bmp 2342115,,,,
2342615,[500],:,image croix 2342615,,,,
2346782,[4167],:,trigger 2343321,,,,
2346782,[0],:,trigger 2345720,,,,
2346816,[34],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_9.bmp 2346816,,,,
2347317,[501],:,image croix 2347316,,,,
2351283,[3966],:,trigger 2348120,,,,
2351283,[0],:,trigger 2350520,,,,
2351302,[19],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_7.bmp 2351302,,,,
2351802,[500],:,image croix 2351802,,,,
2356869,[5067],:,trigger 2352920,,,,
2356869,[0],:,trigger 2355320,,,,
2356904,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_2.bmp 2356904,,,,
2357404,[500],:,image croix 2357404,,,,
2362171,[4767],:,trigger 2357720,,,,
2362171,[0],:,bouton_1 1243,,,,
2362171,[0],:,trigger 2360120,,,,
2362206,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_9.bmp 2362206,,,,
2362673,[467],:,trigger 2362519,,,,
2362706,[33],:,image croix 2362706,,,,
2365473,[2767],:,trigger 2364920,,,,
2365508,[35],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_6.bmp 2365508,,,,
2366008,[500],:,image croix 2366008,,,,
2371375,[5367],:,trigger 2367320,,,,
2371375,[0],:,trigger 2369720,,,,
2371410,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_6.bmp 2371410,,,,
2371910,[500],:,image croix 2371910,,,,
2375277,[3367],:,trigger 2372120,,,,
2375277,[0],:,bouton_1 232,,,,
2375277,[0],:,bouton_1 232,,,,
2375282,[5],:,trigger 2374519,,,,
2375285,[3],:,bouton_2 2609,,,,
2375311,[26],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_5.bmp 2375311,,,,
2375811,[500],:,image croix 2375811,,,,
2380178,[4367],:,trigger 2376921,,,,
2380178,[0],:,trigger 2379320,,,,
2380214,[36],:,image nostim.bmp 2380214,,,,
2380714,[500],:,image croix 2380714,,,,
2385181,[4467],:,trigger 2381720,,,,
2385181,[0],:,trigger 2384120,,,,
2385216,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_7.bmp 2385216,,,,
2385716,[500],:,image croix 2385716,,,,
2389883,[4167],:,bouton_1 172,,,,
2389883,[0],:,trigger 2386520,,,,
2389883,[0],:,trigger 2388921,,,,
2389917,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_1.bmp 2389917,,,,
2390418,[501],:,image croix 2390418,,,,
2393885,[3467],:,bouton_1 189,,,,
