Cog2000 log file Tue Jul 03 15:58:29 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.95Hz,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogInput.mex,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
Attaching C:\Documents and Settings\3T\My Documents\Cogent2000v1.30\Toolbox\CogSerial.mex,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
3,[3],:,COGENT START,,,,
182193,[182190],:,Key,74.0,DOWN,at,182193.0
182486,[293],:,Key,1.0,DOWN,at,182486.0
182488,[2],:,COGENT STOP,,,,
Cog2000 log file Tue Jul 03 16:04:00 2012,,,,,,,
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
0,[0],:,COGENT START,,,,
862624,[862624],:,Key,76.0,DOWN,at,862624.0
862625,[1],:,Debut_run 1 : run 1,,,,
874385,[11760],:,Byte,107.0,COM1,at,874384.0
874385,[0],:,Byte,176.0,COM1,at,874384.0
874385,[0],:,Byte,173.0,COM1,at,874384.0
874388,[3],:,Byte,126.0,COM1,at,874384.0
874391,[3],:,Byte,15.0,COM1,at,874384.0
874393,[2],:,Byte,0.0,COM1,at,874384.0
874396,[3],:,Byte,107.0,COM1,at,874384.0
874404,[8],:,Byte,160.0,COM1,at,874384.0
874408,[4],:,Byte,177.0,COM1,at,874384.0
874410,[2],:,Byte,126.0,COM1,at,874384.0
874413,[3],:,Byte,15.0,COM1,at,874384.0
874415,[2],:,Byte,0.0,COM1,at,874384.0
874420,[5],:,Synchro_IRM,,,,
874469,[49],:,image nostim.BMP 874469,,,,
875269,[800],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_6.BMP 875269,,,,
875769,[500],:,image croix 875769,,,,
881136,[5367],:,bouton_1 565,,,,
881136,[0],:,trigger 876784,,,,
881137,[1],:,trigger 879184,,,,
881172,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_4.BMP 881172,,,,
881639,[467],:,trigger 881585,,,,
881672,[33],:,image croix 881672,,,,
886039,[4367],:,bouton_1 612,,,,
886039,[0],:,trigger 883984,,,,
886074,[35],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_1.BMP 886074,,,,
886541,[467],:,trigger 886384,,,,
886574,[33],:,image croix 886574,,,,
889441,[2867],:,bouton_1 981,,,,
889441,[0],:,trigger 888784,,,,
889475,[34],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_6.BMP 889475,,,,
889975,[500],:,image croix 889975,,,,
893842,[3867],:,trigger 891183,,,,
893842,[0],:,trigger 893584,,,,
893860,[18],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_2.BMP 893860,,,,
894360,[500],:,image croix 894360,,,,
899027,[4667],:,trigger 895985,,,,
899027,[0],:,trigger 898384,,,,
899046,[19],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_8.BMP 899046,,,,
899546,[500],:,image croix 899546,,,,
903413,[3867],:,bouton_1 618,,,,
903413,[0],:,trigger 900784,,,,
903413,[0],:,trigger 903184,,,,
903447,[34],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_3.BMP 903447,,,,
903948,[501],:,image croix 903948,,,,
908815,[4867],:,trigger 905584,,,,
908815,[0],:,trigger 907984,,,,
908849,[34],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_4.BMP 908849,,,,
909349,[500],:,image croix 909349,,,,
914516,[5167],:,trigger 910384,,,,
914516,[0],:,trigger 912784,,,,
914535,[19],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_6.BMP 914535,,,,
915036,[501],:,image croix 915035,,,,
918902,[3866],:,trigger 915184,,,,
918902,[0],:,bouton_1 329,,,,
918902,[0],:,trigger 917584,,,,
918937,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_1.BMP 918937,,,,
919437,[500],:,image croix 919437,,,,
924004,[4567],:,trigger 919984,,,,
924004,[0],:,bouton_1 547,,,,
924004,[0],:,bouton_1 547,,,,
924007,[3],:,trigger 922384,,,,
924039,[32],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_4.BMP 924039,,,,
924539,[500],:,image croix 924539,,,,
928506,[3967],:,trigger 924785,,,,
928506,[0],:,bouton_1 282,,,,
928506,[0],:,trigger 927183,,,,
928541,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_9.BMP 928541,,,,
929041,[500],:,image croix 929041,,,,
932708,[3667],:,trigger 929584,,,,
932708,[0],:,bouton_1 874,,,,
932708,[0],:,trigger 931984,,,,
932743,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_8.BMP 932743,,,,
933243,[500],:,image croix 933243,,,,
937310,[4067],:,trigger 934384,,,,
937310,[0],:,trigger 936784,,,,
937344,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_1.BMP 937344,,,,
937844,[500],:,image croix 937844,,,,
941711,[3867],:,trigger 939184,,,,
941711,[0],:,trigger 941584,,,,
941746,[35],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_7.BMP 941746,,,,
942247,[501],:,image croix 942246,,,,
947513,[5266],:,trigger 943984,,,,
947513,[0],:,trigger 946384,,,,
947549,[36],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_5.BMP 947549,,,,
948049,[500],:,image croix 948049,,,,
952916,[4867],:,bouton_1 192,,,,
952916,[0],:,trigger 948784,,,,
952917,[1],:,trigger 951184,,,,
952951,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_9.BMP 952951,,,,
953451,[500],:,image croix 953451,,,,
958018,[4567],:,trigger 953584,,,,
958018,[0],:,trigger 955984,,,,
958052,[34],:,image nostim.BMP 958052,,,,
958519,[467],:,trigger 958384,,,,
958552,[33],:,image croix 958552,,,,
962719,[4167],:,trigger 960784,,,,
962738,[19],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_1.BMP 962738,,,,
963205,[467],:,trigger 963183,,,,
963238,[33],:,image croix 963238,,,,
966705,[3467],:,bouton_1 261,,,,
966705,[0],:,trigger 965584,,,,
966740,[35],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_8.BMP 966740,,,,
967240,[500],:,image croix 967240,,,,
971507,[4267],:,trigger 967983,,,,
971507,[0],:,trigger 970384,,,,
971542,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_5.BMP 971542,,,,
972042,[500],:,image croix 972042,,,,
976909,[4867],:,trigger 972784,,,,
976909,[0],:,trigger 975184,,,,
976944,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_9.BMP 976944,,,,
977444,[500],:,image croix 977444,,,,
981111,[3667],:,trigger 977585,,,,
981111,[0],:,trigger 979984,,,,
981145,[34],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_6.BMP 981145,,,,
981645,[500],:,image croix 981645,,,,
986512,[4867],:,trigger 982384,,,,
986512,[0],:,trigger 984784,,,,
986548,[36],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_1.BMP 986548,,,,
987048,[500],:,image croix 987048,,,,
991515,[4467],:,trigger 987184,,,,
991515,[0],:,trigger 987184,,,,
991515,[0],:,trigger 989584,,,,
991550,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_2.BMP 991550,,,,
992017,[467],:,trigger 991984,,,,
992050,[33],:,image croix 992050,,,,
995317,[3267],:,bouton_1 403,,,,
995317,[0],:,trigger 994384,,,,
995351,[34],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_5.BMP 995351,,,,
995851,[500],:,image croix 995851,,,,
999518,[3667],:,bouton_1 262,,,,
999518,[0],:,trigger 996784,,,,
999518,[0],:,trigger 999184,,,,
999552,[34],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_3.BMP 999552,,,,
1000052,[500],:,image croix 1000052,,,,
1004319,[4267],:,trigger 1001584,,,,
1004319,[0],:,trigger 1003984,,,,
1004338,[19],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_4.BMP 1004338,,,,
1004839,[501],:,image croix 1004839,,,,
1009306,[4467],:,trigger 1006384,,,,
1009306,[0],:,trigger 1008785,,,,
1009340,[34],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_7.BMP 1009340,,,,
1009841,[501],:,image croix 1009841,,,,
1013708,[3867],:,bouton_1 220,,,,
1013708,[0],:,trigger 1011184,,,,
1013708,[0],:,trigger 1013585,,,,
1013742,[34],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_8.BMP 1013742,,,,
1014242,[500],:,image croix 1014242,,,,
1020209,[5967],:,bouton_1 104,,,,
1020209,[0],:,trigger 1015984,,,,
1020209,[0],:,trigger 1018384,,,,
1020213,[4],:,trigger 1018384,,,,
1020215,[2],:,trigger 1018384,,,,
1020245,[30],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_9.BMP 1020245,,,,
1020745,[500],:,image croix 1020745,,,,
1024313,[3568],:,trigger 1020784,,,,
1024313,[0],:,bouton_1 56,,,,
1024313,[0],:,trigger 1023184,,,,
1024346,[33],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_5.BMP 1024346,,,,
1024846,[500],:,image croix 1024846,,,,
1028413,[3567],:,bouton_1 64,,,,
1028413,[0],:,trigger 1025585,,,,
1028413,[0],:,trigger 1027983,,,,
1028448,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_8.BMP 1028448,,,,
1028948,[500],:,image croix 1028948,,,,
1034015,[5067],:,bouton_1 30,,,,
1034015,[0],:,trigger 1028978,,,,
1034015,[0],:,trigger 1030384,,,,
