Cog2000 log file Tue Feb 05 18:21:41 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
0,[0],:,COGENT START,,,,
4337,[4337],:,Key,76.0,DOWN,at,4337.0
4337,[0],:,Debut_run 1 : run 1,,,,
51758,[47421],:,Byte,107.0,COM1,at,51758.0
51759,[1],:,Byte,176.0,COM1,at,51758.0
51759,[0],:,Byte,16.0,COM1,at,51758.0
51761,[2],:,Byte,3.0,COM1,at,51758.0
51763,[2],:,Byte,92.0,COM1,at,51758.0
51766,[3],:,Byte,36.0,COM1,at,51758.0
51768,[2],:,Byte,107.0,COM1,at,51758.0
51770,[2],:,Byte,160.0,COM1,at,51758.0
51771,[1],:,Byte,21.0,COM1,at,51758.0
51773,[2],:,Byte,3.0,COM1,at,51758.0
51775,[2],:,Byte,92.0,COM1,at,51758.0
51777,[2],:,Byte,36.0,COM1,at,51758.0
51779,[2],:,Synchro_IRM,,,,
51812,[33],:,image nostim.bmp 51812,,,,
52812,[1000],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_2.bmp 52812,,,,
53312,[500],:,image croix 53312,,,,
57879,[4567],:,trigger 54159,,,,
57879,[0],:,trigger 56560,,,,
57898,[19],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_5.bmp 57898,,,,
58398,[500],:,image croix 58398,,,,
62565,[4167],:,trigger 58959,,,,
62565,[0],:,bouton_1 861,,,,
62565,[0],:,trigger 61358,,,,
62600,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_3.bmp 62600,,,,
63100,[500],:,image croix 63100,,,,
66267,[3167],:,trigger 63759,,,,
66267,[0],:,bouton_1 2395,,,,
66267,[0],:,trigger 66158,,,,
66302,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_6.bmp 66302,,,,
66802,[500],:,image croix 66802,,,,
72569,[5767],:,trigger 68559,,,,
72569,[0],:,trigger 70959,,,,
72603,[34],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_9.bmp 72603,,,,
73104,[501],:,image croix 73104,,,,
76671,[3567],:,bouton_1 -16,,,,
76671,[0],:,trigger 73358,,,,
76671,[0],:,trigger 75758,,,,
76706,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_4.bmp 76705,,,,
77206,[500],:,image croix 77206,,,,
80773,[3567],:,bouton_1 210,,,,
80773,[0],:,trigger 78158,,,,
80773,[0],:,bouton_1 1310,,,,
80776,[3],:,trigger 80559,,,,
80808,[32],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_8.bmp 80808,,,,
81308,[500],:,image croix 81308,,,,
85675,[4367],:,bouton_1 226,,,,
85675,[0],:,trigger 82958,,,,
85675,[0],:,trigger 85358,,,,
85709,[34],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_4.bmp 85709,,,,
86209,[500],:,image croix 86209,,,,
90876,[4667],:,trigger 87759,,,,
90876,[0],:,trigger 90158,,,,
90895,[19],:,image nostim.bmp 90895,,,,
91395,[500],:,image croix 91395,,,,
96262,[4867],:,trigger 92560,,,,
96262,[0],:,trigger 94959,,,,
96280,[18],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_1.bmp 96280,,,,
96780,[500],:,image croix 96780,,,,
101447,[4667],:,trigger 97358,,,,
101447,[0],:,trigger 99759,,,,
101482,[35],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_5.bmp 101482,,,,
101982,[500],:,image croix 101982,,,,
105149,[3167],:,bouton_1 -17,,,,
105149,[0],:,trigger 102158,,,,
105149,[0],:,trigger 104558,,,,
105184,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_1.bmp 105184,,,,
105684,[500],:,image croix 105684,,,,
109651,[3967],:,bouton_1 372,,,,
109651,[0],:,trigger 106959,,,,
109651,[0],:,bouton_1 3493,,,,
109654,[3],:,trigger 109358,,,,
109686,[32],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_5.bmp 109686,,,,
110153,[467],:,bouton_1 30,,,,
110186,[33],:,image croix 110186,,,,
116053,[5867],:,trigger 111759,,,,
116053,[0],:,bouton_1 2360,,,,
116053,[0],:,trigger 114158,,,,
116088,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_3.bmp 116088,,,,
116588,[500],:,image croix 116588,,,,
120355,[3767],:,trigger 116558,,,,
120355,[0],:,trigger 118958,,,,
120390,[35],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_7.bmp 120390,,,,
120890,[500],:,image croix 120890,,,,
124757,[3867],:,trigger 121358,,,,
124757,[0],:,trigger 123759,,,,
124792,[35],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_8.bmp 124792,,,,
125292,[500],:,image croix 125292,,,,
130359,[5067],:,bouton_1 379,,,,
130359,[0],:,trigger 126158,,,,
130359,[0],:,trigger 128559,,,,
130394,[35],:,image Morphs_IRM\MORPH_5_PERCENT_FAMILIARITY\morph_5_7.bmp 130394,,,,
130894,[500],:,image croix 130894,,,,
134661,[3767],:,trigger 130959,,,,
134661,[0],:,trigger 133359,,,,
134695,[34],:,image Morphs_IRM\MORPH_75_PERCENT_FAMILIARITY\morph_75_6.bmp 134695,,,,
135195,[500],:,image croix 135195,,,,
139062,[3867],:,bouton_1 21,,,,
139062,[0],:,trigger 135759,,,,
139062,[0],:,trigger 138159,,,,
139065,[3],:,bouton_1 3704,,,,
139098,[33],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_5.bmp 139098,,,,
139598,[500],:,image croix 139598,,,,
144765,[5167],:,trigger 140559,,,,
144765,[0],:,trigger 142958,,,,
144783,[18],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_6.bmp 144783,,,,
145283,[500],:,image croix 145283,,,,
147950,[2667],:,trigger 145358,,,,
147950,[0],:,bouton_1 726,,,,
147950,[0],:,trigger 147759,,,,
147984,[34],:,image Morphs_IRM\MORPH_45_PERCENT_FAMILIARITY\morph_45_5.bmp 147984,,,,
148484,[500],:,image croix 148484,,,,
