Cog2000 log file Tue Jul 03 17:06:19 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
gprim v1.30 Compiled:Jul  4 2011 (GLib DirectDraw v7 DX9.0 Compiled:Jul  4 2011),,,,,,,
Display:1024x768x32 59.99Hz,,,,,,,
CogInput v1.05 Compiled: May 14 2010,,,,,,,
CogSerial v1.05 Compiled: May 14 2010,,,,,,,
304323,[4067],:,bouton_1 513,,,,
304323,[0],:,trigger 302602,,,,
304341,[18],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_8.BMP 304341,,,,
304841,[500],:,image croix 304841,,,,
308208,[3367],:,trigger 305002,,,,
308208,[0],:,trigger 305002,,,,
308208,[0],:,trigger 305002,,,,
308211,[3],:,bouton_1 594,,,,
308213,[2],:,trigger 307403,,,,
308242,[29],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_4.BMP 308242,,,,
308743,[501],:,image croix 308742,,,,
313909,[5166],:,bouton_1 469,,,,
313909,[0],:,trigger 309803,,,,
313909,[0],:,trigger 312202,,,,
313945,[36],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_3.BMP 313945,,,,
314446,[501],:,image croix 314446,,,,
318013,[3567],:,trigger 314603,,,,
318013,[0],:,bouton_1 372,,,,
318013,[0],:,trigger 317003,,,,
318047,[34],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_1.BMP 318047,,,,
318547,[500],:,image croix 318547,,,,
322714,[4167],:,trigger 319403,,,,
322714,[0],:,trigger 321802,,,,
322748,[34],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_9.BMP 322748,,,,
323249,[501],:,image croix 323248,,,,
327415,[4166],:,trigger 324202,,,,
327415,[0],:,trigger 326603,,,,
327434,[19],:,image Morphs_IRM\MORPH_35_PERCENT_FAMILIARITY\morph_35_9.BMP 327434,,,,
327934,[500],:,image croix 327934,,,,
333001,[5067],:,trigger 329003,,,,
333001,[0],:,trigger 331403,,,,
333036,[35],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_6.BMP 333036,,,,
333536,[500],:,image croix 333536,,,,
337903,[4367],:,trigger 333802,,,,
337903,[0],:,trigger 336202,,,,
337921,[18],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_7.BMP 337921,,,,
338421,[500],:,image croix 338421,,,,
342788,[4367],:,trigger 338603,,,,
342788,[0],:,trigger 341003,,,,
342807,[19],:,image Morphs_IRM\MORPH_25_PERCENT_FAMILIARITY\morph_25_6.BMP 342807,,,,
343307,[500],:,image croix 343307,,,,
346774,[3467],:,trigger 343403,,,,
346774,[0],:,trigger 345803,,,,
346808,[34],:,image nostim.BMP 346808,,,,
347309,[501],:,image croix 347309,,,,
351276,[3967],:,trigger 348203,,,,
351276,[0],:,trigger 350603,,,,
351310,[34],:,image Morphs_IRM\MORPH_85_PERCENT_FAMILIARITY\morph_85_3.BMP 351310,,,,
351811,[501],:,image croix 351810,,,,
357077,[5266],:,bouton_1 330,,,,
357077,[0],:,trigger 353003,,,,
357077,[0],:,trigger 355403,,,,
357113,[36],:,image Morphs_IRM\MORPH_15_PERCENT_FAMILIARITY\morph_15_6.BMP 357113,,,,
357613,[500],:,image croix 357613,,,,
361480,[3867],:,trigger 357802,,,,
361480,[0],:,trigger 360202,,,,
361514,[34],:,image Morphs_IRM\MORPH_65_PERCENT_FAMILIARITY\morph_65_6.BMP 361514,,,,
362015,[501],:,image croix 362014,,,,
366481,[4466],:,trigger 362603,,,,
366481,[0],:,trigger 365002,,,,
366499,[18],:,image Morphs_IRM\MORPH_55_PERCENT_FAMILIARITY\morph_55_8.BMP 366499,,,,
367000,[501],:,image croix 366999,,,,
370766,[3766],:,bouton_1 294,,,,
370766,[0],:,trigger 367404,,,,
370766,[0],:,trigger 369803,,,,
370801,[35],:,image Morphs_IRM\MORPH_95_PERCENT_FAMILIARITY\morph_95_9.BMP 370801,,,,
371302,[501],:,image croix 371301,,,,
376568,[5266],:,bouton_1 437,,,,
376568,[0],:,trigger 372202,,,,
376568,[0],:,trigger 374603,,,,
