Run,Essai,Tps écoulé / début run,Temps début image / synchro,%  morph,n° couple,Réponse,TR
3,6,1198293,25845,15,3,0,
3,7,1201511,29063,35,1,1,488
3,8,1207530,35082,95,4,1,129
3,9,1211048,38600,5,8,0,
3,10,1215750,43302,55,5,1,192
3,11,1221769,49321,55,4,1,223
3,12,1227388,54940,85,7,0,
3,13,1231490,59042,35,2,1,108
3,14,1236908,64460,45,2,0,
3,15,1241110,68662,75,3,1,206
3,16,1249930,77482,35,6,1,411
3,17,1255249,82801,5,9,1,168
3,18,1264753,92305,75,9,1,260
3,19,1269755,97307,95,8,1,128
3,21,1278458,106010,55,9,1,89
3,22,1283561,111113,75,7,1,98
3,23,1294465,122017,45,4,1,95
3,25,1303952,131504,45,8,1,432
3,26,1308154,135706,15,4,1,24
3,27,1312356,139908,85,3,1,425
3,28,1317058,144610,95,7,1,-4
3,29,1321659,149211,85,4,1,322
3,30,1327962,155514,25,3,1,409
3,31,1331163,158715,25,9,1,147
3,32,1336365,163917,65,6,1,358
3,33,1340867,168419,55,8,1,131
3,34,1346970,174522,25,4,1,430
3,35,1351572,179124,75,3,1,223
3,36,1356274,183826,45,3,1,502
3,37,1360175,187727,95,1,1,308
3,38,1365778,193330,65,2,1,128
3,39,1375664,203216,95,3,1,275
3,42,1389253,216805,5,4,1,240
3,43,1394755,222307,35,4,1,285
3,44,1400157,227709,25,8,1,1380
3,45,1404843,232395,65,7,1,241
3,47,1418348,245900,85,8,1,333
3,48,1423050,250602,5,6,1,284
3,50,1433454,261006,95,9,1,297
3,51,1438456,266008,65,4,1,322
3,52,1443041,270593,35,7,1,408
3,55,1457414,284966,65,1,1,477
3,56,1462116,289668,75,2,1,251
3,57,1467218,294770,45,6,1,342
3,59,1476622,304174,65,3,1,141
3,60,1480724,308276,15,6,1,395
3,62,1490711,318263,95,2,1,327
3,63,1495313,322865,85,5,1,494
3,64,1500815,328367,85,2,1,223
3,65,1509019,336571,5,4,1,387
3,66,1515421,342973,95,6,1,382
3,67,1518422,345974,85,9,1,178
3,68,1524925,352477,75,9,1,425
3,69,1528126,355678,25,6,1,363
3,71,1538430,365982,45,9,1,690
3,72,1543933,371485,95,9,1,101
3,73,1547834,375386,55,3,1,187
3,74,1556921,384473,15,1,1,319
3,76,1566825,394377,65,9,1,235
3,77,1571427,398979,15,3,1,439
3,79,1582331,409883,5,5,1,329
3,80,1585933,413485,15,9,1,219
3,81,1590835,418387,95,1,1,157
3,82,1599838,427390,15,4,1,322
3,83,1605941,433493,45,4,1,381
3,84,1609742,437294,15,2,1,662
3,85,1615744,443296,75,8,1,420
3,88,1634136,461688,55,7,0,
3,89,1640038,467590,45,1,1,391
4,1,1793684,430,35,1,0,
4,3,1804688,11434,5,6,1,281
4,4,1813791,20537,85,7,1,130
4,5,1819194,25940,55,6,1,1198
4,6,1823495,30241,95,2,1,158
4,7,1828797,35543,95,8,1,263
4,10,1841303,48049,85,3,1,162
4,11,1847505,54251,95,7,1,254
4,12,1851707,58453,45,3,1,324
4,15,1871882,78628,65,4,1,414
4,17,1880885,87631,55,8,1,415
4,18,1885988,92734,95,4,1,149
4,20,1895892,102638,35,9,1,303
4,22,1904079,110825,55,9,1,116
4,23,1910380,117126,25,2,1,426
4,24,1918283,125029,75,4,1,195
4,25,1923986,130732,75,6,1,136
4,26,1927888,134634,5,1,1,327
4,28,1939076,145822,95,3,1,167
4,29,1943477,150223,15,7,1,300
4,30,1947179,153925,45,7,1,31
4,31,1953081,159827,5,3,1,267
4,34,1971889,178635,65,2,1,2512
4,35,1976891,183637,85,4,1,345
4,37,1986095,192841,25,1,1,656
4,39,1995298,202044,15,4,1,212
4,40,2001301,208047,65,9,1,229
4,41,2005302,212048,65,6,1,948
4,42,2015906,222652,45,2,1,964
4,43,2024410,231156,75,2,1,197
4,44,2028712,235458,95,6,1,157
4,45,2033914,240660,45,8,1,4359
4,46,2040016,246762,25,7,1,300
4,47,2042917,249663,65,3,1,381
4,48,2049320,256066,85,2,1,215
4,50,2058507,265253,55,9,1,440
4,51,2062708,269454,25,4,1,172
4,52,2067311,274057,95,5,1,194
4,53,2071712,278458,5,9,1,138
4,54,2077514,284260,25,1,1,254
4,55,2081916,288662,5,8,1,970
4,56,2086717,293463,75,4,1,189
4,58,2096406,303152,45,3,1,157
4,60,2107194,313940,85,6,1,20
4,61,2110695,317441,75,8,1,534
4,62,2115597,322343,85,9,1,313
4,63,2121499,328245,65,8,1,150
4,64,2124601,331347,5,7,1,255
4,65,2129502,336248,5,9,1,182
4,66,2134805,341551,5,1,1,179
4,68,2155297,362043,25,2,1,745
4,69,2160081,366827,75,6,1,178
4,70,2164567,371313,55,6,1,405
4,72,2173170,379916,75,5,1,383
4,74,2183074,389820,15,3,1,189
4,75,2187276,394022,95,9,1,331
4,78,2201982,408728,85,8,1,59
4,79,2206484,413230,15,6,1,202
4,83,2226074,432820,25,9,1,236
4,84,2235179,441925,5,4,1,292
4,85,2240080,446826,85,1,1,48
4,86,2246383,453129,35,4,1,195
4,87,2250185,456931,85,5,1,300
4,88,2255587,462333,95,7,1,112
4,89,2259489,466235,25,6,1,7
