run,trial,global time,run time,morph level,couple,response,response time
1,1,423848,844,75,4,0,
1,2,428951,5947,45,4,1,670
1,3,433653,10649,5,3,0,
1,4,438455,15451,35,1,0,
1,5,443756,20752,15,4,0,
1,6,448642,25638,75,6,1,1139
1,7,452143,29139,45,8,1,790
1,8,458045,35041,35,3,0,
1,9,466849,43845,55,3,1,1276
1,10,471651,48647,85,5,1,801
1,11,476553,53549,85,1,1,896
1,12,485640,62636,5,9,0,
1,13,492027,69023,5,6,0,
1,14,495927,72923,95,7,1,694
1,15,504931,81927,95,6,1,675
1,16,511333,88329,55,1,1,1359
1,17,514635,91631,35,2,0,
1,18,521038,98034,75,3,1,744
1,19,525639,102635,35,8,1,680
1,20,529542,106538,95,4,1,677
1,21,535244,112240,95,3,1,667
1,22,539345,116341,15,1,0,
1,23,544047,121043,15,9,0,
1,24,548749,125745,35,9,0,
1,25,554351,131347,55,6,1,691
1,26,559253,136249,25,7,0,
1,27,564138,141134,25,6,0,
1,28,572625,149621,85,3,1,722
1,29,578427,155423,15,6,0,
1,30,582830,159826,65,6,1,651
1,31,587832,164828,55,8,1,623
1,32,592133,169129,95,9,1,681
1,33,597935,174931,5,4,0,
1,34,602337,179333,25,1,0,
1,35,605638,182634,45,1,0,
1,36,612042,189038,65,1,0,
1,37,620044,197040,35,6,1,662
1,38,624947,201943,5,2,0,
1,39,630432,207428,25,3,1,1873
1,40,635534,212530,65,4,1,719
1,41,639536,216532,55,9,1,738
1,42,644538,221534,85,9,1,745
1,43,650040,227036,85,4,1,701
1,44,655442,232438,95,1,1,745
1,45,660244,237240,45,2,0,
1,46,664045,241041,25,8,1,547
1,47,669047,246043,45,5,1,708
1,48,673250,250246,45,9,1,795
1,49,678851,255847,85,2,1,642
1,50,682553,259549,65,3,1,664
1,51,688656,265652,75,2,1,678
1,52,692557,269553,55,5,1,4024
1,53,698059,275055,95,8,1,560
1,54,701661,278657,95,2,1,575
1,55,707363,284359,45,3,1,867
1,56,712465,289461,35,7,1,1216
1,57,716066,293062,5,8,0,
1,58,726054,303050,45,7,1,1000
1,59,731056,308052,5,7,0,
1,60,740643,317639,35,5,1,664
1,61,745044,322040,75,5,1,666
1,62,749947,326943,85,6,1,765
1,63,755649,332645,65,5,1,3331
1,64,760351,337347,55,4,0,
1,65,765136,342132,95,5,1,674
1,66,770338,347334,65,2,1,762
1,67,774540,351536,65,8,1,694
1,68,779442,356438,25,9,1,1081
1,69,783944,360940,55,7,1,1152
1,70,789346,366342,35,4,0,
1,71,792948,369944,55,2,1,1025
1,72,798650,375646,75,1,1,860
1,73,802351,379347,55,6,1,736
1,74,809154,386150,15,2,0,
1,75,813639,390635,45,6,1,891
1,76,816840,393836,85,8,1,752
1,77,822443,399439,65,7,1,1338
1,78,826444,403440,35,5,0,
1,79,837649,414645,25,5,1,721
1,80,842250,419246,85,7,1,561
1,81,846752,423748,25,4,0,
1,82,850454,427450,15,7,0,
1,83,856056,433052,95,5,1,1324
1,84,861458,438454,5,1,0,
1,85,864959,441955,5,5,1,748
1,86,869862,446858,75,7,1,566
1,87,875964,452960,75,8,1,600
1,88,879566,456562,95,2,1,682
1,89,884568,461564,5,4,1,676
1,90,890370,467366,15,5,0,
1,91,894171,471167,65,9,1,546
1,92,894171,471167,65,9,0,
2,1,992778,1334,35,7,0,
2,2,997763,6319,5,9,0,
2,3,1002265,10821,55,7,1,517
2,4,1010668,19224,15,3,0,
2,5,1017054,25610,25,2,0,
2,6,1022240,30796,45,6,1,892
2,7,1026742,35298,35,6,1,797
2,8,1031743,40299,85,2,1,680
2,9,1036246,44802,65,1,1,651
2,10,1045750,54306,25,3,1,933
2,11,1049951,58507,15,8,0,
2,12,1054953,63509,45,3,1,1379
2,13,1059355,67911,25,8,1,768
2,14,1064357,72913,25,9,1,1205
2,15,1069959,78515,5,5,0,
2,16,1073460,82016,5,8,0,
2,17,1077962,86518,75,9,1,674
2,18,1084565,93121,65,7,1,662
2,19,1089367,97923,35,9,1,1114
2,20,1092368,100924,35,4,0,
2,21,1098970,107526,65,2,1,808
2,22,1102373,110929,15,4,0,
2,23,1107674,116230,85,3,1,684
2,24,1111976,120532,85,9,1,680
2,25,1118178,126734,75,1,1,671
2,26,1121763,130319,35,1,0,
2,27,1126666,135222,45,9,1,950
2,28,1131067,139623,85,5,1,753
