run,trial,global time,run time,morph level,couple,response,response time
1,1,1129689,1859,15,7,0,
1,2,1132791,4961,45,9,0,
1,3,1138392,10562,45,1,1,1408
1,4,1144395,16565,5,4,0,
1,5,1148796,20966,95,6,1,665
1,6,1153298,25468,85,1,1,1365
1,7,1158401,30571,35,5,0,
1,8,1163002,35172,5,1,0,
1,9,1167705,39875,5,6,0,
1,10,1172306,44476,55,7,0,
1,11,1176708,48878,75,9,0,
1,12,1181009,53179,25,8,0,
1,13,1187012,59182,35,4,0,
1,14,1192014,64184,25,2,0,
1,15,1196416,68586,45,7,0,
1,16,1201101,73271,45,8,0,
1,17,1205603,77773,85,8,0,
1,18,1215507,87677,85,4,1,568
1,19,1221209,93379,5,2,0,
1,20,1230012,102182,75,7,1,3388
1,21,1233714,105884,95,1,0,
1,22,1238500,110670,15,8,0,
1,23,1245002,117172,25,5,0,
1,24,1248204,120374,55,3,0,
1,25,1254389,126559,85,2,0,
1,26,1258591,130761,55,4,1,1438
1,27,1263193,135363,35,8,0,
1,28,1267394,139564,15,9,0,
1,29,1272497,144667,35,2,0,
1,30,1278199,150369,75,2,1,702
1,31,1283001,155171,75,8,0,
1,32,1288303,160473,35,6,0,
1,33,1292805,164975,35,7,1,1409
1,34,1296106,168276,65,2,1,1274
1,35,1301308,173478,65,1,0,
1,36,1306894,179064,65,5,1,692
1,37,1315797,187967,55,6,0,
1,38,1321583,193753,85,6,1,806
1,39,1325884,198054,95,3,1,1193
1,40,1330987,203157,5,8,0,
1,41,1336289,208459,85,7,0,
1,42,1339590,211760,15,1,1,1370
1,43,1350294,222464,65,9,0,
1,44,1355080,227250,25,3,0,
1,45,1360265,232435,15,4,0,
1,46,1364751,236921,75,6,1,582
1,47,1369352,241522,55,2,1,711
1,48,1373654,245824,35,1,0,
1,49,1379457,251627,65,6,1,569
1,50,1384058,256228,85,9,0,
1,51,1389144,261314,45,6,1,1181
1,52,1396930,269100,55,5,0,
1,53,1403016,275186,25,4,0,
1,54,1407818,279988,5,3,0,
1,55,1411319,283489,25,6,0,
1,56,1417322,289492,95,7,1,1230
1,57,1421023,293193,75,5,1,573
1,58,1427526,299696,85,3,1,1111
1,59,1430427,302597,65,4,1,680
1,60,1435229,307399,35,9,0,
1,61,1440130,312300,35,3,0,
1,62,1445633,317803,15,6,0,
1,63,1449735,321905,95,2,1,1143
1,64,1464724,336894,45,2,1,1641
1,65,1470327,342497,55,9,0,
1,66,1475128,347298,5,9,0,
1,67,1478830,351000,95,5,1,750
1,68,1484332,356502,75,1,1,1001
1,69,1488534,360704,65,8,1,1303
1,70,1493436,365606,65,3,1,1740
1,71,1498038,370208,35,7,0,
1,72,1503640,375810,65,7,0,
1,73,1507542,379712,5,7,1,1879
1,74,1513844,386014,45,4,1,857
1,75,1517746,389916,25,7,0,
1,76,1522448,394618,55,8,0,
1,77,1527349,399519,95,8,0,
1,78,1537420,409590,45,3,0,
1,79,1546924,419094,75,4,1,703
1,80,1550425,422595,55,1,0,
1,81,1556328,428498,5,5,0,
1,82,1560929,433099,75,3,0,
1,83,1565031,437201,15,5,0,
1,84,1571334,443504,15,2,0,
1,85,1574735,446905,55,5,1,716
1,86,1579437,451607,95,4,1,668
1,87,1584239,456409,45,5,0,
1,88,1589041,461211,25,1,1,1770
1,89,1593843,466013,5,1,0,
1,90,1599628,471798,5,6,0,
1,91,1599628,471798,5,6,0,
2,1,1709306,1427,85,5,1,530
2,2,1713808,5929,5,3,0,
2,3,1718209,10330,45,8,0,
2,4,1723996,16117,15,3,0,
2,5,1728097,20218,95,9,0,
2,6,1732499,24620,55,6,0,
2,7,1738601,30722,65,6,1,590
2,8,1742302,34423,5,9,0,
2,9,1747605,39726,35,8,0,
2,10,1752707,44828,25,9,0,
2,11,1756508,48629,85,7,1,832
2,12,1765812,57933,45,5,0,
2,13,1770314,62435,95,8,1,841
2,14,1781518,73639,5,2,0,
2,15,1785220,77341,75,8,1,761
2,16,1790022,82143,65,9,0,
2,17,1795507,87628,65,1,1,1057
2,18,1800309,92430,15,4,1,1178
2,19,1804611,96732,5,8,0,
2,20,1809813,101934,95,9,1,860
2,21,1813615,105736,75,6,1,1024
2,22,1819217,111338,25,1,1,986
2,23,1823119,115240,45,9,0,
2,24,1827920,120041,65,4,1,4742
2,25,1832922,125043,95,4,1,583
2,26,1844010,136131,45,2,0,
2,27,1847295,139416,35,5,0,
2,28,1853097,145218,85,2,1,1007
2,29,1858200,150321,65,7,0,
2,30,1861701,153822,55,3,0,
2,31,1867687,159808,95,7,1,810
2,32,1872289,164410,35,2,1,923
2,33,1881175,173296,45,4,0,
2,34,1891463,183584,15,6,0,
2,35,1895264,187385,75,9,1,2958
2,36,1901767,193888,45,6,1,494
2,37,1905668,197789,55,8,1,510
2,38,1909470,201591,45,1,1,1082
2,39,1914272,206393,35,3,0,
2,40,1920158,212279,75,3,1,909
2,41,1925560,217681,85,1,1,800
2,42,1929862,221983,65,2,1,861
2,43,1939666,231787,75,5,1,678
2,44,1944768,236889,25,7,1,1657
2,45,1948169,240290,35,1,1,919
2,46,1952871,244992,45,3,0,
2,47,1958574,250695,5,7,0,
2,48,1962575,254696,25,9,0,
2,49,1968960,261081,65,8,0,
2,50,1972362,264483,55,7,0,
2,51,1978565,270686,55,1,0,
2,52,1982867,274988,5,5,0,
2,53,1991470,283591,75,2,1,779
2,54,1996072,288193,25,8,0,
2,55,2000874,292995,5,4,0,
2,56,2007376,299497,15,9,0,
2,57,2012162,304283,45,7,1,2209
2,58,2016063,308184,85,4,1,597
2,59,2021765,313886,85,6,1,565
2,60,2026484,318605,5,4,0,
2,61,2034687,326808,55,2,1,1182
2,62,2041107,333228,95,6,1,584
2,63,2044908,337029,85,3,1,928
2,64,2050427,342548,75,1,1,622
2,65,2054344,346465,95,3,1,746
2,66,2059264,351385,15,3,0,
2,67,2064166,356287,15,8,0,
2,68,2068266,360387,85,9,1,837
2,69,2073186,365307,35,4,0,
2,70,2078289,370410,55,4,0,
2,71,2083889,376010,35,9,0,
2,72,2087492,379613,55,9,0,
2,73,2091994,384115,75,4,1,627
2,74,2096896,389017,5,1,1,1263
2,75,2103499,395620,55,2,1,1263
2,76,2106600,398721,75,7,1,683
2,77,2112001,404122,25,4,0,
2,78,2117087,409208,25,5,0,
2,79,2120889,413010,95,5,1,574
2,80,2125991,418112,65,5,1,639
2,81,2130592,422713,55,3,0,
2,82,2136595,428716,25,2,0,
2,83,2141597,433718,15,1,1,2291
2,84,2145298,437419,15,2,0,
2,85,2150100,442221,45,2,0,
2,86,2155002,447123,95,2,1,1046
2,87,2159405,451526,5,8,0,
2,88,2165006,457127,15,7,1,1621
2,89,2170409,462530,75,7,1,825
2,90,2175311,467432,85,5,1,622
2,91,2179212,471333,35,6,0,
2,92,2179212,471333,35,6,0,
3,1,2281937,1230,5,5,0,
3,2,2287422,6715,25,3,0,
3,3,2292108,11401,55,4,0,
3,4,2295309,14602,55,7,0,
3,5,2301595,20888,45,4,0,
3,6,2306097,25390,45,5,0,
3,7,2311099,30392,75,1,1,1006
3,8,2315401,34694,75,4,1,698
3,9,2320403,39696,25,6,0,
3,10,2325805,45098,55,1,1,1065
3,11,2329606,48899,85,8,1,609
3,12,2334209,53502,75,6,1,558
3,13,2339710,59003,15,5,0,
3,14,2344413,63706,65,3,1,3173
3,15,2348714,68007,35,7,1,1156
3,16,2357717,77010,65,1,0,
3,17,2363820,83113,15,9,0,
3,18,2368622,87915,55,9,0,
3,19,2372624,91917,55,6,1,882
3,20,2377425,96718,45,1,1,1972
3,21,2382627,101920,55,5,0,
3,22,2387129,106422,35,2,0,
3,23,2392315,111608,25,2,0,
3,24,2396317,115610,15,4,1,1108
3,25,2401218,120511,35,4,0,
3,26,2406521,125814,65,8,1,676
3,27,2410623,129916,85,9,1,742
3,28,2416025,135318,25,9,0,
3,29,2420426,139719,35,6,0,
3,30,2426012,145305,75,3,1,1500
3,31,2430013,149306,85,6,1,604
3,32,2436216,155509,65,2,1,1015
3,33,2441001,160294,5,9,0,
3,34,2445903,165196,85,8,1,609
3,35,2449104,168397,55,8,1,550
3,36,2460009,179302,25,8,0,
3,37,2463610,182903,55,7,0,
3,38,2468712,188005,65,7,0,
3,39,2474298,193591,25,5,0,
3,40,2479183,198476,75,9,0,
3,41,2487887,207180,35,9,0,
3,42,2493289,212582,5,3,0,
3,43,2497090,216383,5,6,0,
3,44,2501675,220968,35,5,0,
3,45,2508062,227355,45,3,0,
3,46,2512164,231457,75,5,1,699
3,47,2516465,235758,55,2,0,
3,48,2521267,240560,95,1,1,720
3,49,2531471,250764,45,9,0,
3,50,2535373,254666,45,8,0,
3,51,2540758,260051,95,3,1,718
3,52,2546161,265454,65,5,1,1317
3,53,2550562,269855,85,7,1,581
3,54,2555364,274657,25,7,1,1833
3,55,2564668,283961,95,9,1,718
3,56,2569970,289263,35,8,0,
3,57,2575272,294565,15,3,0,
3,58,2578673,297966,35,3,1,2008
3,59,2584276,303569,35,1,1,1582
3,60,2589377,308670,5,2,0,
3,61,2592879,312172,5,7,1,1258
3,62,2599282,318575,65,6,1,1106
3,63,2608185,327478,25,1,1,2268
3,64,2612287,331580,95,4,1,481
3,65,2617689,336982,15,1,1,2273
3,66,2622291,341584,45,7,0,
3,67,2627293,346586,25,6,0,
3,68,2632895,352188,65,3,1,930
3,69,2636397,355690,75,2,1,686
3,70,2646784,366077,15,7,1,1096
3,71,2651886,371179,85,5,1,551
3,72,2656288,375581,85,1,1,822
3,73,2660190,379483,45,6,0,
3,74,2666092,385385,85,2,1,598
3,75,2671394,390687,95,5,1,580
3,76,2674795,394088,45,5,0,
3,77,2680582,399875,15,6,0,
3,78,2688785,408078,95,2,1,528
3,79,2694586,413879,75,8,1,581
3,80,2698588,417881,65,9,1,905
3,81,2704590,423883,15,5,0,
3,82,2709092,428385,5,4,1,1317
3,83,2712794,432087,95,1,1,561
3,84,2717896,437189,55,8,0,
3,85,2723181,442474,95,7,1,603
3,86,2728884,448177,85,4,1,810
3,87,2732585,451878,15,8,0,
3,88,2742973,462266,5,9,0,
3,89,2748058,467351,5,2,0,
3,90,2751959,471252,95,6,1,627
3,91,2751959,471252,95,6,0,
4,1,2853801,228,5,6,0,
4,2,2859003,5430,5,8,0,
4,3,2863205,9632,15,2,0,
4,4,2869607,16034,65,4,1,2258
4,5,2874709,21136,85,3,1,1736
4,6,2878111,24538,5,5,0,
4,7,2882712,29139,75,7,1,831
4,8,2888815,35242,15,4,1,1752
4,9,2892016,38443,5,1,1,1032
4,10,2897718,44145,35,2,0,
4,11,2903221,49648,55,5,1,708
4,12,2907323,53750,55,9,0,
4,13,2911324,57751,85,6,1,516
4,14,2916626,63053,35,1,1,1228
4,15,2921928,68355,75,9,0,
4,16,2927414,73841,55,3,0,
4,17,2930715,77142,65,5,1,787
4,18,2935317,81744,55,6,0,
4,19,2945104,91531,75,8,1,799
4,20,2949707,96134,35,6,0,
4,21,2955508,101935,25,4,1,2359
4,22,2959710,106137,5,3,0,
4,23,2964913,111340,15,7,0,
4,24,2969714,116141,15,5,0,
4,25,2973599,120026,25,3,0,
4,26,2979084,125511,5,7,0,
4,27,2989572,135999,65,3,1,1384
4,28,2992973,139400,65,1,0,
4,29,2998376,144803,35,5,0,
4,30,3003177,149604,45,4,0,
4,31,3009081,155508,45,3,0,
4,32,3013182,159609,75,6,1,637
4,33,3018684,165111,85,9,1,582
4,34,3027971,174398,65,2,1,3015
4,35,3031672,178099,65,7,1,792
4,36,3036274,182701,15,1,1,1399
4,37,3042677,189104,25,6,0,
4,38,3045878,192305,15,8,0,
4,39,3050864,197291,25,7,0,
4,40,3056066,202493,75,1,1,787
4,41,3066270,212697,45,2,0,
4,42,3070872,217299,45,7,0,
4,43,3075473,221900,25,2,0,
4,44,3079775,226202,95,8,1,4172
4,45,3085778,232205,75,2,1,660
4,46,3090480,236907,85,7,1,639
4,47,3099283,245710,35,8,0,
4,48,3103685,250112,85,1,1,605
4,49,3109788,256215,85,2,1,622
4,50,3114589,261016,85,4,1,676
4,51,3118791,265218,75,5,1,483
4,52,3124193,270620,55,4,0,
4,53,3128178,274605,35,9,0,
4,54,3137765,284192,45,6,0,
4,55,3141967,288394,65,6,1,931
4,56,3146352,292779,5,9,0,
4,57,3151955,298382,25,1,0,
4,58,3157056,303483,95,4,1,585
4,59,3162058,308485,95,7,1,675
4,60,3167361,313788,65,8,1,521
4,61,3171663,318090,25,3,0,
4,62,3175864,322291,5,8,0,
4,63,3186568,332995,55,1,0,
4,64,3190669,337096,35,4,0,
4,65,3199974,346401,55,7,0,
4,66,3204876,351303,45,1,0,
4,67,3208877,355304,95,2,1,553
4,68,3215580,362007,15,6,0,
4,69,3219681,366108,15,2,0,
4,70,3225084,371511,55,9,0,
4,71,3228985,375412,85,3,1,549
4,72,3232987,379414,55,4,0,
4,73,3238790,385217,25,4,0,
4,74,3243292,389719,45,9,0,
4,75,3247993,394420,45,8,0,
4,76,3253195,399622,35,7,0,
4,77,3256796,403223,95,8,1,640
4,78,3262899,409326,95,9,1,564
4,79,3268001,414428,5,3,0,
4,80,3272103,418530,35,3,0,
4,81,3277504,423931,95,5,1,3244
4,82,3281806,428233,15,9,0,
4,83,3287209,433636,55,3,1,1065
4,84,3291411,437838,75,4,1,527
4,85,3295612,442039,65,4,1,985
4,86,3305016,451443,15,3,0,
4,87,3310501,456928,35,8,0,
4,88,3314386,460813,5,7,1,2681
4,89,3319188,465615,55,2,0,
4,90,3325591,472018,85,5,1,521
4,91,3325591,472018,85,5,0,
5,1,3325591,-107784,85,5,0,
