run,trial,global time,run time,morph level,couple,response,response time
1,1,1472220,874,75,4,0,
1,2,1477354,6008,45,4,1,1068
1,3,1482086,10740,5,3,0,
1,4,1486919,15573,35,1,1,985
1,5,1492236,20890,15,4,0,
1,6,1497169,25823,75,6,0,
1,7,1500697,29351,45,8,0,
1,8,1506632,35286,35,3,1,2056
1,9,1515461,44115,55,3,0,
1,10,1520294,48948,85,5,0,
1,11,1525226,53880,85,1,0,
1,12,1534356,63010,5,9,0,
1,13,1540777,69431,5,6,0,
1,14,1544707,73361,95,7,1,1027
1,15,1553736,82390,95,6,0,
1,16,1560156,88810,55,1,1,961
1,17,1563467,92121,35,2,0,
1,18,1569888,98542,75,3,1,849
1,19,1574520,103174,35,8,0,
1,20,1578449,107103,95,4,1,1179
1,21,1584168,112822,95,3,1,1083
1,22,1588297,116951,15,1,1,1265
1,23,1593013,121667,15,9,1,1842
1,24,1597745,126399,35,9,0,
1,25,1603380,132034,55,6,0,
1,26,1608313,136967,25,7,1,954
1,27,1613246,141900,25,6,1,978
1,28,1621773,150427,85,3,1,1295
1,29,1627609,156263,15,6,1,972
1,30,1632040,160694,65,6,1,838
1,31,1637073,165727,55,8,1,1095
1,32,1641404,170058,95,9,1,684
1,33,1647239,175893,5,4,1,692
1,34,1651637,180291,25,1,1,1067
1,35,1654964,183618,45,1,1,1106
1,36,1661402,190056,65,1,1,882
1,37,1669428,198082,35,6,1,3475
1,38,1674361,203015,5,2,0,
1,39,1679895,208549,25,3,1,625
1,40,1685012,213666,65,4,1,833
1,41,1689042,217696,55,9,1,983
1,42,1694075,222729,85,9,1,860
1,43,1699609,228263,85,4,1,781
1,44,1705027,233681,95,1,1,764
1,45,1709859,238513,45,2,1,983
1,46,1713671,242325,25,8,1,976
1,47,1718688,247342,45,5,1,969
1,48,1722919,251573,45,9,1,855
1,49,1728553,257207,85,2,1,938
1,50,1732282,260936,65,3,1,827
1,51,1738385,267039,75,2,1,659
1,52,1742315,270969,55,5,1,966
1,53,1747849,276503,95,8,1,926
1,54,1751461,280115,95,2,1,982
1,55,1757213,285867,45,3,1,813
1,56,1762346,291000,35,7,1,685
1,57,1765959,294613,5,8,1,748
1,58,1775974,304628,45,7,1,761
1,59,1781007,309661,5,7,1,4702
1,60,1790605,319259,35,5,1,741
1,61,1795036,323690,75,5,1,709
1,62,1799952,328606,85,6,1,755
1,63,1805687,334341,65,5,1,873
1,64,1810420,339074,55,4,1,887
1,65,1815252,343906,95,5,1,800
1,66,1820486,349140,65,2,1,928
1,67,1824715,353369,65,8,1,889
1,68,1829631,358285,25,9,1,745
1,69,1834164,362818,55,7,1,889
1,70,1839597,368251,35,4,1,846
1,71,1843210,371864,55,2,1,760
1,72,1848945,377599,75,1,1,940
1,73,1852640,381294,55,6,1,781
1,74,1859479,388133,15,2,0,
1,75,1864010,392664,45,6,1,1428
1,76,1867220,395874,85,8,1,876
1,77,1872838,401492,65,7,1,887
1,78,1876818,405472,35,5,1,994
1,79,1888021,416675,25,5,1,761
1,80,1892636,421290,85,7,1,788
1,81,1897168,425822,25,4,1,862
1,82,1900897,429551,15,7,0,
1,83,1906499,435153,95,5,1,819
1,84,1911932,440586,5,1,1,1735
1,85,1915444,444098,5,5,1,995
1,86,1920360,449014,75,7,1,874
1,87,1926497,455151,75,8,1,1011
1,88,1930108,458762,95,2,1,952
1,89,1935091,463745,5,4,1,770
1,90,1940926,469580,15,5,1,780
1,91,1944755,473409,65,9,1,797
2,1,2063172,1310,35,7,0,
2,2,2068172,6310,5,9,0,
2,3,2072655,10793,55,7,0,
2,4,2081081,19219,15,3,1,792
2,5,2087520,25658,25,2,1,901
2,6,2092719,30857,45,6,1,1101
2,7,2097218,35356,35,6,1,840
2,8,2102217,40355,85,2,1,789
2,9,2106715,44853,65,1,1,597
2,10,2116212,54350,25,3,1,927
2,11,2120443,58581,15,8,1,935
2,12,2125426,63564,45,3,1,883
2,13,2129840,67978,25,8,1,1178
2,14,2134840,72978,25,9,1,1032
2,15,2140442,78580,5,5,1,811
2,16,2143936,82074,5,8,0,
2,17,2148467,86605,75,9,1,704
2,18,2155056,93194,65,7,1,1073
2,19,2159855,97993,35,9,0,
2,20,2162848,100986,35,4,1,674
2,21,2169453,107591,65,2,1,974
2,22,2172847,110985,15,4,1,754
2,23,2178147,116285,85,3,1,838
2,24,2182428,120566,85,9,1,767
2,25,2188631,126769,75,1,1,681
2,26,2192226,130364,35,1,1,1655
2,27,2197126,135264,45,9,1,835
2,28,2201523,139661,85,5,1,1154
2,29,2207509,145647,35,2,1,1268
2,30,2211707,149845,55,2,1,1027
2,31,2216003,154141,45,5,1,846
2,32,2220686,158824,45,4,1,727
2,33,2230484,168622,15,7,1,1600
2,34,2235785,173923,65,4,0,
2,35,2240182,178320,15,3,1,525
2,36,2244480,182618,95,3,1,662
2,37,2249479,187617,75,2,1,863
2,38,2255783,193921,5,1,1,958
2,39,2259980,198118,5,7,1,1019
2,40,2264879,203017,95,7,1,773
2,41,2269176,207314,95,1,1,665
2,42,2274979,213117,95,8,1,840
2,43,2278273,216411,95,4,1,756
2,44,2283974,222112,45,7,1,774
2,45,2293555,231693,85,6,1,757
2,46,2298639,236777,55,8,1,1044
2,47,2302836,240974,15,1,0,
2,48,2308638,246776,15,5,1,669
