run,trial,global time,run time,morph level,couple,response,response time
1,1,52812,1033,35,2,0,
1,2,57898,6119,75,5,1,1361
1,3,62600,10821,55,3,1,2895
1,4,66302,14523,5,6,0,
1,5,72603,20824,25,9,1,484
1,6,76705,24926,45,4,1,1810
1,7,80808,29029,5,8,1,726
1,8,85709,33930,5,4,0,
1,9,96280,44501,55,1,0,
1,10,101482,49703,65,5,1,483
1,11,105184,53405,45,1,1,3993
1,12,109686,57907,55,5,1,2860
1,13,116088,64309,45,3,0,
1,14,120390,68611,45,7,0,
1,15,124792,73013,15,8,1,879
1,16,130394,78615,5,7,0,
1,17,134695,82916,75,6,1,4204
1,18,139098,87319,15,5,0,
1,19,144783,93004,35,6,1,1226
1,20,147984,96205,45,5,1,916
1,21,153387,101608,75,9,0,
1,22,158889,107110,85,1,1,1083
1,23,162290,110511,85,5,1,785
1,24,168093,116314,55,2,1,782
1,25,173795,122016,45,2,0,
1,26,177396,125617,35,1,0,
1,27,182598,130819,25,4,0,
1,28,186199,134420,95,1,1,3363
1,29,191002,139223,95,5,0,
1,30,196204,144425,85,8,0,
1,31,201906,150127,85,6,1,768
1,32,207208,155429,15,1,0,
1,33,211010,159231,25,1,1,1347
1,34,216111,164332,45,9,0,
1,35,221414,169635,5,5,1,935
1,36,225016,173237,95,9,1,4399
1,37,230918,179139,65,3,0,
1,38,234319,182540,85,4,1,803
1,39,240821,189042,5,9,1,2031
1,40,244724,192945,25,8,0,
1,41,249024,197245,55,8,1,4333
1,42,255228,203449,35,8,1,2844
1,43,258629,206850,25,7,0,
1,44,264314,212535,45,8,0,
1,45,267916,216137,55,6,1,491
1,46,274519,222740,5,1,0,
1,47,278620,226841,35,4,1,2000
1,48,283723,231944,65,4,1,3231
1,49,287924,236145,95,2,1,3652
1,50,291825,240046,75,1,1,4611
1,51,298428,246649,5,2,0,
1,52,303230,251451,5,3,0,
1,53,307532,255753,55,7,0,
1,54,311133,259354,65,1,1,2687
1,55,316135,264356,15,4,0,
1,56,327124,275345,75,4,1,3079
1,57,331425,279646,65,8,0,
1,58,340528,288749,15,9,1,4689
1,59,346030,294251,15,2,0,
1,60,350332,298553,15,7,0,
1,61,355435,303656,45,6,1,3899
1,62,360736,308957,55,4,1,2588
1,63,365738,313959,35,5,0,
1,64,369323,317544,35,7,0,
1,65,380128,328349,5,9,0,
1,66,384329,332550,45,9,0,
1,67,389015,337236,85,2,1,878
1,68,393116,341337,95,3,1,4960
1,69,398318,346539,35,3,0,
1,70,403620,351841,45,5,1,2782
1,71,408522,356743,25,6,0,
1,72,413725,361946,65,6,1,3431
1,73,417926,366147,75,7,0,
1,74,422929,371150,55,9,1,2442
1,75,427030,375251,85,7,0,
1,76,437117,385338,55,2,1,932
1,77,442220,390441,25,5,0,
