run,trial,global time,run time,morph level,couple,response,response time
1,1,702932,1240,25,4,0,
1,2,706534,4842,85,3,1,619
1,3,713036,11344,65,3,1,555
1,4,716138,14446,25,6,1,606
1,5,721439,19747,15,4,1,512
1,6,726441,24749,75,4,1,1628
1,7,730844,29152,25,5,0,
1,8,736846,35154,45,9,0,
1,9,741048,39356,35,5,0,
1,10,746149,44457,15,6,0,
1,11,751351,49659,55,4,0,
1,12,756353,54661,95,5,1,585
1,13,760956,59264,55,2,0,
1,14,764257,62565,65,1,0,
1,15,770260,68568,35,6,0,
1,16,779847,78155,45,7,0,
1,17,784949,83257,85,8,1,636
1,18,790051,88359,55,3,1,531
1,19,794152,92460,75,8,1,588
1,20,799055,97363,85,1,1,482
1,21,802756,101064,35,7,0,
1,22,818445,116753,25,8,0,
1,23,826648,124956,15,8,0,
1,24,831551,129859,5,1,0,
1,25,837153,135461,35,1,0,
1,26,841154,139462,95,1,1,510
1,27,847257,145565,75,7,1,663
1,28,852259,150567,35,8,0,
1,29,855761,154069,45,4,0,
1,30,861562,159870,95,3,1,827
1,31,866565,164873,5,3,0,
1,32,870366,168674,45,8,0,
1,33,875952,174260,95,6,1,646
1,34,880754,179062,45,6,1,817
1,35,885056,183364,45,2,0,
1,36,889357,187665,25,2,0,
1,37,894943,193251,15,3,0,
1,38,899245,197553,55,5,0,
1,39,904646,202954,65,6,1,652
1,40,909549,207857,75,2,1,542
1,41,918053,216361,25,7,0,
1,42,922654,220962,75,3,1,537
1,43,928957,227265,85,5,1,498
1,44,937360,235668,75,5,1,492
1,45,947965,246273,65,4,0,
1,46,951666,249974,55,6,0,
1,47,957068,255376,65,7,1,484
1,48,961570,259878,95,7,1,508
1,49,967272,265580,65,9,1,693
1,50,976475,274783,85,2,1,708
1,51,982078,280386,65,5,1,685
1,52,986863,285171,5,2,0,
1,53,990948,289256,35,2,0,
1,54,995350,293658,5,8,0,
1,55,999752,298060,35,4,0,
1,56,1005254,303562,85,6,1,485
1,57,1009756,308064,75,1,1,475
1,58,1015458,313766,85,9,1,467
1,59,1019059,317367,15,7,0,
1,60,1023845,322153,85,4,1,609
1,61,1029547,327855,65,8,1,929
1,62,1033049,331357,85,7,1,482
1,63,1039551,337859,15,9,0,
1,64,1043152,341460,25,1,0,
1,65,1048555,346863,45,3,0,
1,66,1052757,351065,75,6,1,652
1,67,1057858,356166,35,9,0,
1,68,1062060,360368,55,9,1,610
1,69,1067062,365370,15,5,0,
1,70,1072248,370556,95,8,1,683
1,71,1077849,376157,75,9,1,893
1,72,1081151,379459,25,9,0,
1,73,1087153,385461,45,5,0,
1,74,1091556,389864,5,4,0,
1,75,1096557,394865,35,3,0,
1,76,1100259,398567,25,3,0,
1,77,1106545,404853,95,4,1,638
1,78,1110847,409155,65,2,1,672
1,79,1116449,414757,5,7,0,
1,80,1119950,418258,5,6,0,
1,81,1125636,423944,55,8,1,670
1,82,1129338,427646,55,7,0,
1,83,1135140,433448,55,1,0,
1,84,1144943,443251,45,1,0,
1,85,1148645,446953,15,1,1,4225
1,86,1154048,452356,5,5,0,
1,87,1158149,456457,5,9,0,
1,88,1164434,462742,95,9,1,522
1,89,1169137,467445,95,2,1,965
1,90,1173038,471346,15,2,0,
1,91,1173038,471346,15,2,0,
2,1,1274930,531,75,4,1,612
2,2,1280531,6132,5,6,1,3444
2,3,1285533,11134,45,4,0,
2,4,1290535,16136,15,5,0,
2,5,1294037,19638,55,9,1,577
2,6,1300340,25941,15,9,0,
2,7,1304241,29842,95,1,1,549
2,8,1313445,39046,25,7,0,
2,9,1317847,43448,85,7,1,930
2,10,1323232,48833,55,3,1,477
2,11,1328434,54035,85,1,1,919
2,12,1333236,58837,45,6,1,689
2,13,1337038,62639,65,4,1,588
2,14,1342240,67841,65,3,1,475
2,15,1352844,78445,75,6,1,489
2,16,1357946,83547,25,3,0,
2,17,1362248,87849,25,1,0,
2,18,1365849,91450,15,6,0,
2,19,1372135,97736,35,1,0,
2,20,1376436,102037,5,9,0,
2,21,1380438,106039,55,1,0,
2,22,1385940,111541,65,7,1,548
2,23,1391043,116644,95,6,1,530
2,24,1405549,131150,65,1,1,634
2,25,1409250,134851,75,5,1,603
2,26,1415253,140854,35,8,0,
2,27,1418554,144155,15,1,0,
2,28,1424439,150040,25,6,0,
2,29,1428824,154425,65,2,1,653
2,30,1433226,158827,55,6,1,489
2,31,1439629,165230,95,8,1,469
2,32,1448133,173734,5,1,0,
2,33,1452934,178535,15,3,0,
2,34,1458220,183821,65,8,1,544
2,35,1461821,187422,95,3,1,645
2,36,1466523,192124,35,4,0,
2,37,1471808,197409,45,7,0,
2,38,1476193,201794,45,9,0,
2,39,1480796,206397,55,8,1,622
2,40,1487398,212999,55,2,0,
2,41,1491000,216601,5,7,0,
2,42,1496002,221603,85,8,1,947
2,43,1501487,227088,45,5,0,
2,44,1506189,231790,5,8,0,
2,45,1509990,235591,35,6,0,
2,46,1515493,241094,75,7,1,522
2,47,1520895,246496,95,9,1,611
2,48,1524896,250497,75,8,1,872
2,49,1530382,255983,75,9,1,467
2,50,1540386,265987,65,9,1,553
2,51,1543588,269189,25,2,0,
2,52,1548989,274590,45,3,1,706
2,53,1554492,280093,85,9,1,535
2,54,1558293,283894,85,4,1,581
2,55,1569098,294699,5,5,0,
2,56,1576984,302585,35,9,1,2192
2,57,1586688,312289,95,4,1,496
2,58,1592091,317692,55,4,0,
2,59,1597492,323093,75,2,1,543
2,60,1601894,327495,25,4,0,
2,61,1606196,331797,55,7,0,
2,62,1611181,336782,95,7,1,475
2,63,1615883,341484,35,3,0,
2,64,1620785,346386,35,7,0,
2,65,1624887,350488,75,1,1,770
2,66,1630389,355990,45,8,0,
2,67,1640476,366077,55,5,0,
2,68,1644578,370179,5,2,0,
2,69,1650063,375664,35,5,0,
2,70,1659668,385269,65,6,1,522
2,71,1664470,390071,85,3,1,948
2,72,1669271,394872,15,4,0,
2,73,1673273,398874,5,3,0,
2,74,1678858,404459,65,5,1,506
2,75,1684060,409661,85,2,1,579
2,76,1687145,412746,45,1,0,
2,77,1692848,418449,75,3,1,574
2,78,1697049,422650,15,2,0,
2,79,1702451,428052,5,4,0,
2,80,1712839,438440,95,5,1,489
2,81,1717640,443241,75,3,1,910
2,82,1721626,447227,55,4,0,
2,83,1727311,452912,35,2,0,
2,84,1730913,456514,45,2,0,
2,85,1737098,462699,15,8,0,
2,86,1740099,465700,25,9,0,
2,87,1746386,471987,25,8,0,
2,88,1746386,471987,25,8,0,
3,1,1851178,421,25,5,0,
3,2,1862349,11592,75,6,1,489
3,3,1866350,15593,5,6,0,
3,4,1870435,19678,65,8,1,529
3,5,1875937,25180,35,6,1,1196
3,6,1880340,29583,85,6,1,477
3,7,1890244,39487,45,9,0,
3,8,1894445,43688,35,9,0,
