run,trial,global time,run time,morph level,couple,response,response time
1,1,844223,848,75,4,1,1204
1,2,849391,6016,45,4,1,1655
1,3,854109,10734,5,3,0,
1,4,858995,15620,35,1,0,
1,5,864347,20972,15,4,0,
1,6,869249,25874,75,6,1,2490
1,7,872851,29476,45,8,0,
1,8,878836,35461,35,3,0,
1,9,887690,44315,55,3,0,
1,10,892508,49133,85,5,1,1698
1,11,897427,54052,85,1,1,1785
1,12,906564,63189,5,9,0,
1,13,913000,69625,5,6,0,
1,14,916935,73560,95,7,0,
1,15,925955,82580,95,6,1,1781
1,16,932374,88999,55,1,0,
1,17,935709,92334,35,2,0,
1,18,942212,98837,75,3,0,
1,19,946913,103538,35,8,0,
1,20,950865,107490,95,4,1,1795
1,21,956601,113226,95,3,0,
1,22,960769,117394,15,1,1,655
1,23,965521,122146,15,9,0,
1,24,970289,126914,35,9,0,
1,25,975925,132550,55,6,0,
1,26,980877,137502,25,7,0,
1,27,985829,142454,25,6,0,
1,28,994433,151058,85,3,0,
1,29,1000318,156943,15,6,0,
1,30,1004770,161395,65,6,0,
1,31,1009822,166447,55,8,1,1531
1,32,1014191,170816,95,9,0,
1,33,1020010,176635,5,4,1,1768
1,34,1024493,181118,25,1,0,
1,35,1027846,184471,45,1,0,
1,36,1034316,190941,65,1,0,
1,37,1042367,198992,35,6,0,
1,38,1047287,203912,5,2,0,
1,39,1052839,209464,25,3,0,
1,40,1057991,214616,65,4,1,1002
1,41,1062076,218701,55,9,0,
1,42,1067145,223770,85,9,1,3159
1,43,1072664,229289,85,4,1,983
1,44,1078150,234775,95,1,0,
1,45,1083034,239659,45,2,0,
1,46,1086902,243527,25,8,0,
1,47,1091972,248597,45,5,0,
1,48,1096190,252815,45,9,0,
1,49,1101825,258450,85,2,1,1237
1,50,1105577,262202,65,3,0,
1,51,1111746,268371,75,2,0,
1,52,1115765,272390,55,5,1,1668
1,53,1121300,277925,95,8,1,1056
1,54,1124984,281609,95,2,1,1352
1,55,1130737,287362,45,3,0,
1,56,1135872,292497,35,7,0,
1,57,1139507,296132,5,8,0,
1,58,1149578,306203,45,7,0,
1,59,1154680,311305,5,7,0,
1,60,1164317,320942,35,5,1,1329
1,61,1168735,325360,75,5,1,1133
1,62,1173754,330379,85,6,1,4875
1,63,1179524,336149,65,5,1,1167
1,64,1184292,340917,55,4,1,1114
