run,trial,global time,run time,morph level,couple,response,response time
1,1,443262,231,35,7,0,
1,2,448465,5434,25,1,0,
1,3,454050,11019,75,7,1,699
1,4,458852,15821,25,9,1,814
1,5,463554,20523,85,5,1,955
1,6,468457,25426,95,5,1,706
1,7,473758,30727,45,2,0,
1,8,477059,34028,5,7,0,
1,9,481962,38931,5,5,0,
1,10,486364,43333,5,3,1,2160
1,11,496467,53436,75,2,1,1814
1,12,500769,57738,25,6,0,
1,13,506455,63424,5,6,0,
1,14,511440,68409,75,5,1,772
1,15,516241,73210,95,1,1,972
1,16,520244,77213,15,7,0,
1,17,525746,82715,45,3,0,
1,18,529647,86616,35,8,1,911
1,19,536150,93119,55,5,1,1026
1,20,541036,98005,35,6,1,1273
1,21,544737,101706,75,9,1,782
1,22,550439,107408,55,6,1,3337
1,23,555042,112011,55,3,1,2476
1,24,558642,115611,45,4,0,
1,25,563344,120313,25,8,0,
1,26,573932,130901,55,1,0,
1,27,579134,136103,85,8,1,859
1,28,583837,140806,65,3,1,1026
1,29,587938,144907,5,1,0,
1,30,591939,148908,5,8,0,
1,31,596741,153710,95,9,1,757
1,32,603044,160013,95,6,1,843
1,33,607946,164915,25,2,0,
1,34,612931,169900,55,8,1,837
1,35,616232,173201,55,9,0,
1,36,621134,178103,15,3,0,
1,37,627020,183989,95,2,1,536
1,38,631422,188391,65,7,0,
1,39,635324,192293,45,5,1,757
1,40,639925,196894,15,8,0,
1,41,646511,203480,15,2,0,
1,42,651113,208082,55,2,1,1262
1,43,655115,212084,65,4,1,730
1,44,659716,216685,95,4,1,753
1,45,664018,220987,45,7,0,
1,46,670505,227474,5,9,0,
1,47,674506,231475,5,4,0,
1,48,680108,237077,55,7,0,
1,49,684794,241763,55,4,1,480
1,50,688695,245664,95,8,1,596
1,51,697899,254868,85,3,1,648
1,52,702201,259170,95,7,1,678
1,53,707102,264071,15,9,0,
1,54,713005,269974,15,5,0,
1,55,716806,273775,15,6,0,
1,56,722892,279861,45,8,0,
1,57,727994,284963,45,6,1,646
1,58,731395,288364,85,7,1,898
1,59,737298,294267,55,3,1,1250
1,60,740799,297768,95,3,1,726
1,61,745801,302770,85,4,1,552
1,62,751303,308272,65,6,1,593
1,63,756706,313675,65,1,1,633
1,64,766410,323379,35,9,0,
1,65,771112,328081,45,1,0,
1,66,774813,331782,95,3,1,1116
1,67,784800,341769,25,5,0,
1,68,790186,347155,75,4,1,562
1,69,794688,351657,75,1,1,802
1,70,798990,355959,25,7,0,
1,71,803891,360860,55,9,0,
1,72,807877,364846,55,7,1,1261
1,73,813879,370848,5,2,0,
1,74,817581,374550,45,9,0,
1,75,823483,380452,45,1,0,
1,76,827785,384754,25,4,0,
1,77,832686,389655,5,9,0,
1,78,842690,399659,35,2,1,1062
1,79,847793,404762,95,6,1,495
1,80,852695,409664,85,9,1,549
1,81,857297,414266,15,4,0,
1,82,861098,418067,65,2,1,632
1,83,865900,422869,85,2,1,612
1,84,871302,428271,35,3,0,
1,85,880206,437175,35,5,1,583
1,86,886408,443377,85,1,1,913
1,87,889509,446478,45,5,1,984
1,88,894511,451480,75,3,1,517
1,89,899214,456183,75,6,1,540
1,90,904015,460984,15,1,0,
1,91,910001,466970,25,3,0,
1,92,913802,470771,25,9,0,
1,93,913802,470771,25,9,0,
2,1,1037435,634,15,9,0,
2,2,1042521,5720,35,1,0,
2,3,1047323,10522,5,2,1,1716
2,4,1051625,14824,5,4,0,
2,5,1062312,25511,65,9,1,625
2,6,1066314,29513,75,8,1,648
2,7,1071616,34815,75,9,1,884
2,8,1077119,40318,65,5,1,646
2,9,1081820,45019,25,5,1,1101
2,10,1085622,48821,95,1,1,757
2,11,1090924,54123,45,9,0,
2,12,1096309,59508,15,7,0,
2,13,1100795,63994,65,8,1,598
2,14,1110582,73781,45,8,1,633
2,15,1114483,77682,25,7,0,
2,16,1118586,81785,35,4,1,629
2,17,1124088,87287,15,1,0,
2,18,1129590,92789,65,8,1,515
2,19,1134292,97491,75,6,1,525
2,20,1138393,101592,35,7,0,
2,21,1143379,106578,45,6,0,
2,22,1148981,112180,45,3,0,
2,23,1153783,116982,65,7,1,594
2,24,1158684,121883,55,5,1,731
2,25,1162686,125885,75,4,1,473
2,26,1168188,131387,95,4,1,534
2,27,1177876,141075,35,5,0,
2,28,1186979,150178,95,2,1,963
2,29,1191465,154664,75,1,1,960
2,30,1196766,159965,85,6,1,568
