run,trial,global time,run time,morph level,couple,response,response time
1,1,728895,6137,85,8,0,
1,2,734197,11439,55,4,0,
1,3,738299,15541,5,7,0,
1,4,743000,20242,45,5,1,662
1,5,747903,25145,35,2,0,
1,6,752105,29347,95,8,0,
1,7,758206,35448,15,5,1,939
1,8,761808,39050,95,3,0,
1,9,772012,49254,35,8,1,516
1,10,775614,52856,35,3,1,934
1,11,781699,58941,45,7,0,
1,12,785584,62826,65,2,1,889
1,13,796572,73814,35,1,1,551
1,14,801374,78616,25,7,0,
1,15,804875,82117,95,7,0,
1,16,810161,87403,95,9,1,532
1,17,814763,92005,45,1,1,953
1,18,820565,97807,5,9,0,
1,19,825367,102609,5,1,0,
1,20,830069,107311,55,9,0,
1,21,834370,111612,45,9,1,3565
1,22,838672,115914,45,6,1,566
1,23,842974,120216,75,2,1,956
1,24,848277,125519,75,3,1,892
1,25,853078,130320,25,5,1,577
1,26,857380,134622,15,6,0,
1,27,862965,140207,5,5,1,506
1,28,868668,145910,65,5,0,
1,29,872970,150212,95,6,1,950
1,30,877871,155113,75,7,1,705
1,31,881873,159115,25,9,1,902
1,32,887559,164801,5,3,0,
1,33,891160,168402,95,2,1,949
1,34,896745,173987,55,8,1,873
1,35,901348,178590,35,7,1,618
1,36,906150,183392,85,9,1,478
1,37,911052,188294,85,3,1,964
1,38,921139,198381,55,2,1,963
1,39,924640,201882,15,4,0,
1,40,935345,212587,5,8,0,
1,41,944448,221690,65,9,1,604
1,42,949350,226592,75,4,1,1385
1,43,953552,230794,65,1,1,954
1,44,967841,245083,35,9,1,523
1,45,974344,251586,25,8,1,891
1,46,977645,254887,65,6,1,533
1,47,983648,260890,65,4,1,483
1,48,987149,264391,15,7,0,
1,49,992051,269293,5,4,0,
1,50,997953,275195,75,8,1,566
1,51,1001855,279097,45,8,0,
1,52,1007740,284982,5,2,1,474
1,53,1012342,289584,25,1,0,
1,54,1016945,294187,75,9,1,558
1,55,1022346,299588,55,6,1,632
1,56,1025848,303090,85,1,1,471
1,57,1030949,308191,65,7,1,471
1,58,1036551,313793,45,3,1,508
1,59,1040154,317396,45,4,0,
1,60,1050958,328200,85,4,1,522
1,61,1055760,333002,95,1,1,947
1,62,1058961,336203,75,5,1,521
1,63,1063864,341106,5,6,1,902
1,64,1070266,347508,25,3,0,
1,65,1075167,352409,15,9,0,
1,66,1078169,355411,35,4,1,707
1,67,1083271,360513,65,3,1,552
1,68,1089274,366516,65,8,1,686
1,69,1094075,371317,25,2,1,525
1,70,1097277,374519,35,6,0,
1,71,1102578,379820,15,3,0,
1,72,1107564,384806,15,1,0,
1,73,1113150,390392,5,7,0,
1,74,1117451,394693,55,1,1,546
1,75,1122154,399396,95,4,1,589
1,76,1126055,403297,45,2,1,521
1,77,1131557,408799,95,5,1,579
1,78,1136059,413301,15,8,0,
1,79,1142362,419604,45,3,1,534
1,80,1150265,427507,55,7,0,
1,81,1155866,433108,35,5,1,660
1,82,1159569,436811,35,5,1,545
1,83,1170872,448114,5,3,0,
1,84,1175459,452701,5,6,0,
1,85,1179659,456901,35,7,0,
1,86,1184262,461504,95,4,1,494
1,87,1188763,466005,55,5,1,539
1,88,1193365,470607,15,2,0,
1,89,1193365,470607,15,2,0,
2,1,1293038,234,15,4,0,
2,2,1297824,5020,75,6,1,534
2,3,1303226,10422,85,6,1,513
2,4,1307928,15124,5,1,0,
2,5,1313330,20526,15,3,1,960
2,6,1317615,24811,85,7,1,473
2,7,1321717,28913,45,9,0,
2,8,1326519,33715,75,1,1,516
2,9,1333022,40218,25,6,1,647
2,10,1336723,43919,55,3,1,527
2,11,1341025,48221,25,4,0,
2,12,1352412,59608,25,4,0,
2,13,1356398,63594,65,5,1,573
2,14,1361800,68996,85,2,1,556
2,15,1366001,73197,45,1,1,525
2,16,1371503,78699,35,1,0,
2,17,1376306,83502,95,3,1,2174
2,18,1388910,96106,95,5,1,565
2,19,1394813,102009,5,4,0,
2,20,1399798,106994,45,6,1,535
2,21,1403600,110796,95,1,1,925
2,22,1409502,116698,85,5,1,566
2,23,1414104,121300,65,7,1,593
2,24,1419506,126702,85,4,1,493
2,25,1423207,130403,5,2,0,
2,26,1428209,135405,35,3,1,575
2,27,1433411,140607,5,8,0,
2,28,1438014,145210,95,8,1,675
2,29,1442715,149911,15,8,0,
2,30,1447818,155014,65,2,1,509
2,31,1452320,159516,15,1,0,
2,32,1457322,164518,25,5,0,
2,33,1465925,173121,95,2,1,515
2,34,1475629,182825,75,8,1,542
2,35,1481131,188327,85,6,1,544
2,36,1486133,193329,15,6,0,
2,37,1489634,196830,25,1,0,
2,38,1495036,202232,55,3,1,509
2,39,1499638,206834,35,2,0,
2,40,1505441,212637,35,9,0,
2,41,1509842,217038,55,7,1,599
2,42,1514445,221641,55,4,0,
2,43,1519046,226242,65,4,1,4133
2,44,1524149,231345,45,4,0,
2,45,1529450,236646,5,9,0,
2,46,1537654,244850,95,7,1,541
2,47,1544357,251553,95,9,1,498
2,48,1547457,254653,5,5,0,
2,49,1553944,261140,55,5,1,762
2,50,1558545,265741,65,1,1,477
2,51,1561847,269043,75,4,1,565
2,52,1572735,279931,5,3,0,
2,53,1577636,284832,45,5,1,743
2,54,1582138,289334,25,9,0,
2,55,1586640,293836,15,5,0,
2,56,1590942,298138,95,6,1,524
2,57,1597244,304440,95,9,1,583
2,58,1600446,307642,95,2,1,525
2,59,1606648,313844,35,4,0,
2,60,1610449,317645,35,8,0,
2,61,1614551,321747,75,3,1,504
2,62,1619353,326549,35,6,0,
2,63,1624655,331851,65,9,1,535
2,64,1629457,336653,5,2,0,
2,65,1633959,341155,5,4,0,
2,66,1638862,346058,75,6,1,540
2,67,1643363,350559,55,6,1,568
2,68,1653366,360562,65,6,1,573
2,69,1658069,365265,85,7,1,551
2,70,1663671,370867,55,8,1,516
2,71,1668273,375469,95,6,1,541
2,72,1672374,379570,35,3,0,
2,73,1677877,385073,45,2,1,517
2,74,1682979,390175,35,5,1,506
2,75,1687780,394976,75,9,1,652
2,76,1691483,398679,55,1,1,568
2,77,1696884,404080,85,3,1,518
2,78,1702587,409783,75,1,1,959
2,79,1705788,412984,5,6,0,
2,80,1712174,419370,25,3,0,
2,81,1717159,424355,55,9,1,581
2,82,1720761,427957,65,8,1,477
2,83,1725863,433059,65,3,1,500
2,84,1734567,441763,85,5,1,550
2,85,1739868,447064,45,7,1,587
2,86,1745170,452366,5,7,0,
2,87,1748972,456168,55,2,1,561
2,88,1755074,462270,25,2,1,526
2,89,1758776,465972,25,7,0,
2,90,1764279,471475,55,9,1,643
2,91,1764279,471475,55,9,0,
3,1,1866436,1324,15,2,0,
3,2,1871422,6310,25,6,0,
3,3,1874923,9811,15,7,0,
3,4,1881408,16296,55,3,1,501
3,5,1884510,19398,5,5,0,
3,6,1889112,24000,75,5,1,4775
3,7,1894814,29702,5,9,0,
3,8,1898915,33803,15,9,0,
3,9,1904418,39306,45,8,1,613
3,10,1908820,43708,65,7,1,565
3,11,1914322,49210,75,7,1,535
3,12,1923726,58614,25,8,0,
3,13,1933213,68101,45,7,1,965
3,14,1938915,73803,45,8,1,665
3,15,1943116,78004,5,8,0,
3,16,1948619,83507,65,9,1,499
3,17,1952021,86909,95,8,1,950
3,18,1956523,91411,95,5,1,828
3,19,1961224,96112,65,4,1,520
3,20,1967727,102615,85,2,1,527
3,21,1972328,107216,95,7,1,961
3,22,1975713,110601,35,2,1,531
3,23,1980715,115603,35,1,0,
3,24,1987001,121889,5,1,0,
3,25,1991803,126691,5,1,0,
3,26,1996288,131176,55,4,1,676
3,27,1999589,134477,85,9,1,575
3,28,2004892,139780,35,4,0,
3,29,2010577,145465,5,2,0,
3,30,2015763,150651,55,6,1,519
3,31,2018764,153652,75,2,1,510
3,32,2024066,158954,75,6,1,551
3,33,2029868,164756,85,8,1,509
3,34,2034771,169659,45,2,1,3116
3,35,2039272,174160,45,6,1,564
3,36,2044574,179462,35,7,0,
3,37,2049476,184364,75,5,1,557
3,38,2054161,189049,95,3,1,522
3,39,2058663,193551,85,1,1,715
3,40,2063065,197953,15,9,0,
3,41,2077571,212459,85,3,1,592
3,42,2082273,217161,65,3,1,562
3,43,2087475,222363,75,8,1,535
3,44,2091876,226764,5,9,0,
3,45,2096879,231767,25,2,0,
3,46,2100580,235468,55,1,1,736
3,47,2106183,241071,15,6,0,
3,48,2110584,245472,35,6,1,666
3,49,2116086,250974,25,7,0,
3,50,2120772,255660,45,9,0,
3,51,2124273,259161,75,9,1,509
3,52,2129875,264763,85,1,1,558
3,53,2133977,268865,95,4,1,496
3,54,2139079,273967,35,8,1,492
3,55,2144581,279469,25,3,1,520
3,56,2150283,285171,85,7,1,2804
3,57,2159887,294775,65,8,1,629
3,58,2162788,297676,25,4,0,
3,59,2168374,303262,25,9,0,
3,60,2173959,308847,35,9,1,852
3,61,2177161,312049,15,1,0,
3,62,2182563,317451,95,1,1,539
3,63,2188066,322954,75,3,1,612
3,64,2191567,326455,35,5,0,
3,65,2196669,331557,5,8,0,
3,66,2201871,336759,65,1,1,627
3,67,2206173,341061,65,6,1,658
3,68,2212575,347463,75,1,1,587
3,69,2217377,352265,45,3,0,
3,70,2221179,356067,15,8,0,
3,71,2226780,361668,85,2,1,620
3,72,2231183,366071,45,5,1,3505
3,73,2234985,369873,95,1,1,554
3,74,2239786,374674,55,2,0,
3,75,2245272,380160,55,7,1,661
3,76,2249173,384061,5,7,0,
3,77,2254158,389046,5,4,0,
3,78,2259744,394632,95,7,1,549
3,79,2263745,398633,85,5,1,610
3,80,2269548,404436,25,6,0,
3,81,2273833,408721,15,5,0,
