run,trial,global time,run time,morph level,couple,response,response time
1,1,84373,86,45,5,1,1382
1,2,90175,5888,95,2,1,510
1,3,94577,10290,55,8,1,656
1,4,104781,20494,75,2,1,952
1,5,109883,25596,75,7,1,495
1,6,113284,28997,55,6,1,926
1,7,118087,33800,95,5,1,623
1,8,123389,39102,15,5,0,
1,9,127891,43604,5,5,0,
1,10,133977,49690,65,1,1,525
1,11,139078,54791,65,6,1,496
1,12,142163,57876,35,6,0,
1,13,148065,63778,45,1,0,
1,14,156469,72182,65,8,1,580
1,15,161371,77084,25,6,1,906
1,16,171575,87288,45,4,0,
1,17,182162,97875,15,6,0,
1,18,186564,102277,85,9,1,485
1,19,190266,105979,5,6,0,
1,20,195668,111381,25,5,0,
1,21,199569,115282,25,1,1,1203
1,22,206172,121885,85,8,1,914
1,23,209474,125187,55,4,1,748
1,24,213976,129689,35,4,0,
1,25,220178,135891,65,9,1,474
1,26,224279,139992,25,2,0,
1,27,230082,145795,85,5,1,964
1,28,233683,149396,75,3,1,563
1,29,238085,153798,5,2,0,
1,30,244188,159901,5,9,0,
1,31,247989,163702,95,6,1,927
1,32,258760,174473,95,8,1,541
1,33,261961,177674,15,9,0,
1,34,267563,183276,15,4,0,
1,35,272749,188462,95,9,1,939
1,36,278151,193864,95,7,1,919
1,37,282853,198566,5,8,0,
1,38,290956,206669,45,2,0,
1,39,296343,212056,65,5,1,538
1,40,301144,216857,75,6,1,1784
1,41,305646,221359,5,7,0,
1,42,310348,226061,65,3,1,608
1,43,315850,231563,55,2,1,949
1,44,320752,236465,45,9,0,
1,45,324753,240466,5,4,0,
1,46,330355,246068,5,1,0,
1,47,335541,251254,55,9,1,722
1,48,340242,255955,15,2,0,
1,49,345545,261258,25,4,0,
1,50,354549,270262,75,9,1,592
1,51,362952,278665,55,3,1,475
1,52,368054,283767,35,5,0,
1,53,372655,288368,95,1,1,517
1,54,378758,294471,65,4,1,629
1,55,382460,298173,45,7,0,
1,56,386861,302574,45,6,0,
1,57,392947,308660,35,9,0,
1,58,397049,312762,55,1,1,538
1,59,402351,318064,85,1,1,541
1,60,407854,323567,25,3,0,
1,61,412255,327968,15,7,0,
1,62,415757,331470,5,3,0,
1,63,421459,337172,15,1,0,
1,64,426961,342674,35,1,0,
1,65,431563,347276,35,8,0,
1,66,435564,351277,75,8,1,3897
1,67,439766,355479,55,7,0,
1,68,444668,360381,75,4,1,645
1,69,449170,364883,75,5,1,911
1,70,454272,369985,75,1,1,916
1,71,460274,375987,85,4,1,927
1,72,463775,379488,25,9,0,
1,73,468777,384490,45,8,0,
1,74,473880,389593,45,3,1,4183
1,75,478682,394395,85,3,0,
1,76,484084,399797,15,8,0,
1,77,488986,404699,65,2,1,932
1,78,492787,408500,85,2,1,939
1,79,498790,414503,25,7,0,
1,80,503392,419105,55,5,1,636
1,81,507394,423107,95,4,1,467
1,82,517998,433711,35,7,0,
1,83,522100,437813,35,3,0,
1,84,527001,442714,85,6,1,3660
1,85,532304,448017,35,2,0,
1,86,537205,452918,15,3,0,
1,87,540406,456119,65,7,0,
1,88,546692,462405,95,3,1,964
1,89,550694,466407,85,7,1,561
1,90,554896,470609,25,8,0,
1,91,554896,470609,25,8,0,
2,1,656170,429,45,3,1,941
2,2,661655,5914,25,4,0,
2,3,666741,11000,5,4,0,
2,4,671043,15302,55,3,1,917
2,5,676945,21204,85,7,1,963
2,6,681047,25306,25,8,1,3463
2,7,685048,29307,65,9,1,707
2,8,690351,34610,45,1,0,
2,9,694952,39211,45,2,0,
2,10,700254,44513,85,6,1,471
2,11,703956,48215,65,6,1,712
2,12,709158,53417,35,4,0,
2,13,714743,59002,25,9,0,
2,14,719528,63787,85,9,1,680
2,15,724230,68489,95,3,1,621
2,16,729133,73392,55,6,1,960
2,17,734435,78694,55,1,0,
2,18,737736,81995,65,8,1,504
2,19,742638,86897,35,7,0,
2,20,747040,91299,5,1,0,
2,21,761445,105704,65,5,1,941
2,22,767131,111390,55,7,0,
2,23,772133,116392,15,3,0,
2,24,776936,121195,35,5,0,
2,25,780937,125196,35,3,0,
2,26,786438,130697,55,2,0,
2,27,790341,134600,85,3,1,594
2,28,796843,141102,25,1,0,
2,29,801745,146004,45,6,0,
2,30,805446,149705,65,4,1,931
2,31,815734,159993,95,6,1,518
2,32,819336,163595,75,1,1,480
2,33,824037,168296,65,7,1,643
2,34,829640,173899,75,3,1,3670
2,35,834642,178901,75,7,1,3468
2,36,839844,184103,15,5,0,
2,37,844529,188788,25,7,0,
2,38,848614,192873,45,9,0,
2,39,852615,196874,75,6,1,489
2,40,857418,201677,5,7,0,
2,41,863704,207963,25,2,0,
2,42,868605,212864,75,5,1,955
2,43,873607,217866,35,9,0,
2,44,876908,221167,95,8,1,555
2,45,881811,226070,55,5,1,576
2,46,887713,231972,85,1,1,3196
2,47,892132,236391,95,2,1,3578
2,48,896033,240292,35,1,1,4477
2,49,900635,244894,15,1,1,4675
2,50,907237,251496,5,5,1,2872
2,51,911840,256099,55,8,1,3070
2,52,915857,260116,25,6,1,3853
2,53,920460,264719,65,2,1,4050
2,54,924762,269021,95,1,1,2829
2,55,935282,279541,85,8,1,3628
2,56,940901,285160,55,9,1,2808
2,57,945603,289862,5,3,1,2907
2,58,949505,293764,75,4,1,1405
2,59,953506,297765,65,3,1,932
2,60,958708,302967,35,8,0,
2,61,962993,307252,15,8,0,
2,62,967896,312155,15,6,0,
2,63,973798,318057,95,9,1,927
2,64,977600,321859,95,7,1,505
2,65,983702,327961,25,3,0,
2,66,988787,333046,45,4,0,
2,67,992188,336447,75,2,1,526
2,68,998091,342350,85,5,1,906
2,69,1006594,350853,5,8,0,
2,70,1012080,356339,5,6,0,
2,71,1017481,361740,45,8,1,733
2,72,1021384,365643,35,6,0,
2,73,1027185,371444,75,8,1,920
2,74,1031871,376130,25,5,0,
2,75,1035571,379830,95,5,1,479
2,76,1045576,389835,85,4,1,945
2,77,1050979,395238,45,7,0,
2,78,1055480,399739,5,2,0,
2,79,1059766,404025,95,4,1,496
2,80,1064668,408927,55,4,0,
2,81,1074656,418915,55,9,0,
2,82,1078356,422615,15,4,0,
2,83,1084242,428501,35,2,0,
2,84,1088527,432786,65,1,1,889
2,85,1093412,437671,5,9,0,
2,86,1097414,441673,75,9,1,922
2,87,1103399,447658,45,5,0,
2,88,1108485,452744,15,9,0,
2,89,1113370,457629,55,8,1,783
2,90,1117973,462232,75,7,1,954
2,91,1121773,466032,45,3,1,611
2,92,1126576,470835,35,9,0,
2,93,1126576,470835,35,9,0,
3,1,1221348,1724,65,4,1,495
3,2,1224849,5225,35,5,0,
3,3,1231034,11410,15,2,0,
3,4,1234136,14512,65,5,1,801
3,5,1239138,19514,15,7,0,
3,6,1243823,24199,65,6,1,507
3,7,1248625,29001,95,9,1,555
3,8,1254627,35003,85,2,1,653
3,9,1258429,38805,5,7,0,
3,10,1264614,44990,25,1,0,
3,11,1268216,48592,45,8,1,627
3,12,1273318,53694,45,2,0,
3,13,1278104,58480,85,5,1,918
3,14,1286990,67366,55,1,0,
3,15,1293076,73452,55,4,0,
3,16,1302363,82739,35,4,0,
3,17,1307865,88241,15,3,0,
3,18,1312551,92927,5,1,0,
3,19,1316353,96729,5,4,0,
3,20,1321654,102030,65,7,1,799
3,21,1327057,107433,55,5,1,573
3,22,1331559,111935,95,2,1,916
3,23,1335160,115536,95,4,1,900
3,24,1341346,121722,15,9,0,
3,25,1345247,125623,55,7,0,
3,26,1349349,129725,65,9,1,1258
3,27,1354851,135227,25,9,0,
3,28,1360354,140730,45,1,0,
3,29,1365055,145431,15,8,0,
3,30,1374159,154535,75,8,1,499
3,31,1379761,160137,65,2,1,508
3,32,1384563,164939,95,7,1,916
3,33,1389448,169824,25,7,0,
3,34,1393450,173826,35,2,0,
3,35,1398936,179312,55,3,1,893
3,36,1402037,182413,95,6,1,947
3,37,1408640,189016,65,8,1,910
3,38,1412041,192417,85,9,1,940
3,39,1417743,198119,45,4,0,
3,40,1422245,202621,5,8,0,
3,41,1427530,207906,85,6,1,934
3,42,1432232,212608,95,3,1,652
3,43,1435934,216310,5,9,0,
3,44,1441119,221495,75,1,1,540
3,45,1445321,225697,85,8,1,947
3,46,1451523,231899,75,5,1,931
3,47,1456108,236484,55,6,1,951
3,48,1460410,240786,85,3,1,959
3,49,1465813,246189,5,5,0,
3,50,1469614,249990,95,5,1,935
3,51,1474315,254691,95,8,1,935
3,52,1480702,261078,25,5,0,
3,53,1485104,265480,35,7,0,
3,54,1488705,269081,35,8,0,
3,55,1494391,274767,85,4,1,896
3,56,1499393,279769,75,3,1,472
3,57,1504095,284471,75,2,1,906
3,58,1509397,289773,25,2,0,
3,59,1512397,292773,5,6,0,
3,60,1518101,298477,85,2,1,877
3,61,1521901,302277,15,4,0,
3,62,1528388,308764,35,6,0,
3,63,1531688,312064,75,4,1,908
3,64,1541876,322252,45,7,0,
3,65,1547879,328255,5,2,0,
3,66,1552080,332456,55,2,0,
3,67,1555481,335857,75,9,1,605
3,68,1562085,342461,35,3,0,
3,69,1566086,346462,25,8,1,3912
3,70,1571389,351765,25,3,0,
3,71,1576590,356966,55,9,0,
3,72,1579991,360367,95,1,1,948
3,73,1585777,366153,65,3,1,929
3,74,1590763,371139,55,7,0,
3,75,1594765,375141,45,9,0,
3,76,1599566,379942,5,3,0,
3,77,1603951,384327,95,2,1,942
3,78,1609137,389513,65,1,1,490
3,79,1613639,394015,45,6,0,
3,80,1619824,400200,95,8,1,927
3,81,1624526,404902,85,1,1,492
3,82,1629328,409704,35,1,0,
3,83,1638599,418975,5,3,0,
3,84,1643200,423576,15,1,0,
3,85,1646785,427161,15,7,0,
3,86,1652371,432747,35,9,0,
3,87,1658073,438449,75,6,1,957
3,88,1661658,442034,35,1,0,
